yr,gifts_donations_rptd_by_taxpayers_p_num,gifts_donations_rptd_by_taxpayers_med_aud,mtd_trvl_wrk_empy_p_used1mtd_train_tram_num,mtd_trvl_wrk_empy_p_used1mtd_bus_num,mtd_trvl_wrk_empy_p_used1mtd_car_as_driver_pax_num,mtd_trvl_wrk_empy_p_used1mtd_motor_bike_scooter_num,mtd_trvl_wrk_empy_p_used1mtd_bicycle_num,mtd_trvl_wrk_empy_p_used1mtd_oth_inc_taxis_num,mtd_trvl_wrk_empy_p_used1mtd_walked_only_num,mtd_trvl_wrk_empy_p_tot_used1mtd_num,mtd_trvl_wrk_empy_p_tot_used_more_than1mtd_num,mtd_trvl_wrk_empy_p_oth_wrked_home_num,mtd_trvl_wrk_empy_p_oth_empy_but_no_wrk_num,mtd_trvl_wrk_empy_p_oth_mtd_trvl_ns_num,mtd_trvl_wrk_empy_p_tot_empy_num,hslds_by_type_lone_hslds_num,hslds_by_type_grp_hslds_num,hslds_by_type_fam_hslds_num,hslds_by_type_tot_hslds_num,hslds_by_type_avg_hsld_size_num,fam_by_type_cpl_fam_chld_under_15_and_or_dpnt_studts_num,fam_by_type_cpl_fam_non_dpnt_chld_only_num,fam_by_type_cpl_fam_wo_chld_num,fam_by_type1prnt_fam_chld_under_15_or_dpnt_studts_num,fam_by_type1prnt_fam_non_dpnt_chld_only_num,fam_by_type_oth_fam_num,fam_by_type_tot_fam_num,fam_by_type_avg_fam_size_num,soc_mar_st_regd_mar_st_married_regd_marriage_num,soc_mar_st_regd_mar_st_married_de_facto_marriage_num,soc_mar_st_regd_mar_st_no_married_num,soc_mar_st_regd_mar_st_married_pr100,soc_mar_st_regd_mar_st_never_married_pr100,soc_mar_st_regd_mar_st_widowed_pr100,soc_mar_st_regd_mar_st_divorced_pr100,soc_mar_st_regd_mar_st_separtd_pr100,access_net_home_net_acsd_dwl_pr100,access_net_home_net_no_acsd_dwl_pr100,rent_mrtg_pay_avg_monthly_hsld_rent_payment_aud,rent_mrtg_pay_avg_monthly_hsld_mrtg_payment_aud,unpd_ccare_p_no_prov_ccare_pr100,unpd_ccare_p_cared_own_chld_chld_pr100,unpd_ccare_p_cared_oth_chld_chld_pr100,unpd_ccare_p_cared_own_chld_chld_oth_chld_chld_pr100,unpd_ccare_unpd_ccare_ns_pr100,unpd_wrk_p_provd_unpd_asst_p_dsblty_pr100,unpd_wrk_p_undertaking_voltry_wrk_org_grp_pr100,count_all_chld_fam_avg_num_all_chld_fam_num,hous_suitbl_dwl_xtr_bdrms_num,hous_suitbl_dwl_bdrms_spare_num,hous_suitbl_dwl_no_bdrms_spare_num,dwl_structure_separt_hse_num,dwl_structure_semi_det_row_tce_house_twnhse_etc_num,dwl_structure_flat_apartment_num,dwl_structure_oth_dwl_num,tenure_type_owned_outright_pr100,tenure_type_owned_mrtg_pr100,tenure_type_rent_pr100,hsld_strs_hslds_mrtg_repay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_mrtg_repay_grt_eq_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_less_30_pr100_hsld_inc_pr100,hsld_strs_hslds_rent_pay_grt_eq_30_pr100_hsld_inc_pr100,homelessness_homelessness_rt10000_p_rt,commuting_wrk_avg_comdist_p_of_ur_kms,commuting_wrk_med_comdist_p_of_ur_kms,commuting_wrk_avg_comdist_place_wrk_kms,commuting_wrk_med_comdist_place_wrk_kms,commuting_wrk_avg_comdist_p_of_ur_f_kms,commuting_wrk_avg_comdist_p_of_ur_m_kms,commuting_wrk_med_comdist_p_of_ur_f_kms,commuting_wrk_med_comdist_p_of_ur_m_kms,commuting_wrk_avg_comdist_p_of_ur_managers_kms,commuting_wrk_avg_comdist_p_of_ur_pros_kms,commuting_wrk_avg_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_cmty_p_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_avg_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_avg_comdist_p_of_ur_labourers_kms,commuting_wrk_med_comdist_p_of_ur_managers_kms,commuting_wrk_med_comdist_p_of_ur_pros_kms,commuting_wrk_med_comdist_p_of_ur_tech_trades_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_cmty_p_wrk_kms,commuting_wrk_med_comdist_p_of_ur_clrc_admt_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_sales_wrkers_kms,commuting_wrk_med_comdist_p_of_ur_mach_ops_drivers_kms,commuting_wrk_med_comdist_p_of_ur_labourers_kms,commuting_wrk_avg_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_avg_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_avg_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_avg_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_avg_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_avg_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_avg_comdist_p_of_ur_yr_9_belo_kms,commuting_wrk_med_comdist_p_of_ur_postgrad_degree_kms,commuting_wrk_med_comdist_p_of_ur_grad_dip_grad_cert_kms,commuting_wrk_med_comdist_p_of_ur_bachelor_degree_kms,commuting_wrk_med_comdist_p_of_ur_adv_dip_dip_kms,commuting_wrk_med_comdist_p_of_ur_certificate_iii_iv_kms,commuting_wrk_med_comdist_p_of_ur_certificate_i_ii_kms,commuting_wrk_med_comdist_p_of_ur_yr_10_above_kms,commuting_wrk_med_comdist_p_of_ur_yr_9_belo_kms,gcc_code16,gcc_name16,ogc_fid
2011,975754,125,188925.0,107895.0,1200504.0,12644.0,15626.0,15459.0,84556.0,1654036.0,118747.0,81610.0,178359.0,30517.0,2063269.0,343808.0,64954.0,1112635.0,1521399.0,3.0,457282.0,106607.0,385713.0,113012.0,68203.0,21731.0,1152551.0,3.0,1615890.0,242552.0,1368899.0,49.7,34.7,5.1,7.6,2.8,,,1575.0,2390.0,64.8,20.0,6.6,0.7,7.9,10.8,15.1,1.9,,,,926062.0,194168.0,391891.0,7004.0,30.4,34.8,31.6,88.0,12.0,87.4,12.6,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,1
2012,934484,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,2
2013,944840,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,3
2014,959458,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,4
2015,985502,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1GSYD,Greater Sydney,5
2016,973095,159,249669.0,125503.0,1286546.0,14890.0,16471.0,17078.0,91577.0,1828741.0,147618.0,98906.0,176467.0,20986.0,2272718.0,351423.0,76795.0,1195662.0,1623872.0,3.0,501235.0,116187.0,416588.0,113778.0,76269.0,22992.0,1247047.0,3.0,1717301.0,303434.0,1518312.0,49.3,35.5,4.7,7.6,2.8,85.6,11.7,1996.0,2384.0,65.2,20.3,6.4,0.6,7.5,11.1,16.7,1.9,106750.0,1015542.0,400304.0,924225.0,227235.0,456231.0,9132.0,29.1,33.2,34.1,91.6,8.4,85.8,14.2,60.2,15.3,10.6,16.0,10.8,13.8,16.6,9.5,11.8,16.2,15.0,17.2,13.7,15.9,12.7,16.8,14.3,11.4,10.7,12.1,8.5,11.7,8.1,12.5,9.6,14.8,14.8,14.7,15.8,17.6,15.7,14.8,13.7,11.1,10.4,10.7,10.9,12.0,9.9,9.9,8.5,1GSYD,Greater Sydney,6
2011,508581,78,5195.0,8574.0,762470.0,6966.0,7689.0,8443.0,43396.0,859599.0,12183.0,61422.0,120551.0,17618.0,1071373.0,255336.0,29799.0,664768.0,949900.0,2.0,219110.0,48860.0,283300.0,80704.0,35986.0,9048.0,677002.0,3.0,898484.0,176172.0,727347.0,49.0,31.2,7.0,9.4,3.4,,,991.0,1720.0,64.2,19.0,7.9,1.0,7.8,12.5,20.0,1.9,,,,791640.0,69756.0,73293.0,14141.0,37.7,31.0,27.6,92.0,8.0,90.0,10.0,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,7
2012,473634,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,8
2013,471900,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,9
2014,473603,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,10
2015,478723,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RNSW,Rest of NSW,11
2016,470729,100,5570.0,8224.0,810075.0,6251.0,6824.0,8309.0,39029.0,897875.0,13041.0,64010.0,116274.0,12963.0,1104163.0,269360.0,32214.0,678869.0,980442.0,2.0,217125.0,52808.0,292934.0,78846.0,42014.0,9450.0,693180.0,3.0,895321.0,202701.0,772575.0,47.7,32.2,6.7,9.8,3.6,77.4,19.5,1212.0,1719.0,63.3,18.3,7.9,0.8,9.6,12.6,20.8,1.9,24296.0,749276.0,147283.0,805591.0,90212.0,63144.0,14462.0,37.4,30.6,27.9,94.2,5.8,89.2,10.8,32.8,18.4,7.8,16.3,7.2,16.0,20.8,7.0,8.7,19.7,19.9,19.8,16.4,16.5,13.2,25.3,16.8,7.2,8.7,8.9,6.8,7.8,5.7,13.0,7.0,21.8,20.2,19.7,19.1,19.1,16.2,16.9,16.1,9.0,9.3,8.6,8.4,8.5,6.5,6.9,6.0,1RNSW,Rest of NSW,12
2011,939014,100,158385.0,22555.0,1249344.0,7929.0,25705.0,12274.0,56414.0,1547305.0,94771.0,70794.0,185082.0,29976.0,1927928.0,333280.0,66973.0,1030407.0,1430661.0,3.0,412173.0,93771.0,366856.0,101022.0,60180.0,21592.0,1055602.0,3.0,1461503.0,248739.0,1268491.0,48.8,35.9,5.1,7.4,2.7,,,1364.0,1997.0,65.7,19.7,6.6,0.8,7.3,10.9,15.8,1.8,,,,1039343.0,165484.0,219116.0,6161.0,32.7,36.8,27.2,89.0,11.0,90.3,9.7,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,13
2012,910804,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,14
2013,922149,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,15
2014,935404,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,16
2015,957725,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2GMEL,Greater Melbourne,17
2016,955805,105,203596.0,25018.0,1356032.0,7608.0,29712.0,14486.0,63214.0,1711982.0,112337.0,88695.0,183729.0,18750.0,2115493.0,366005.0,78913.0,1129553.0,1574474.0,3.0,463934.0,99230.0,400693.0,106814.0,67961.0,23028.0,1161643.0,3.0,1572151.0,313248.0,1418743.0,48.4,36.6,4.7,7.4,2.8,85.6,11.8,1613.0,1997.0,65.2,20.3,6.5,0.7,7.3,11.3,17.6,1.8,65928.0,1077160.0,335665.0,1067637.0,264404.0,231297.0,6400.0,30.4,36.0,30.0,91.9,8.1,89.0,11.0,46.1,15.4,11.3,16.2,11.5,14.0,16.7,10.2,12.6,16.3,15.1,17.4,13.6,16.0,12.8,17.3,14.9,12.2,11.1,13.1,9.1,12.8,8.5,13.7,10.8,15.1,14.6,14.9,16.0,17.4,15.3,14.8,13.9,11.3,10.8,11.1,12.2,13.1,11.0,10.7,9.6,2GMEL,Greater Melbourne,18
2011,294563,55,4314.0,3884.0,420076.0,2711.0,5169.0,4947.0,26803.0,473867.0,8318.0,38069.0,69744.0,10189.0,600187.0,143591.0,15659.0,354778.0,514024.0,2.0,120576.0,24549.0,151679.0,40526.0,17189.0,4434.0,358954.0,3.0,487020.0,92572.0,385333.0,50.0,31.0,6.9,8.8,3.3,,,856.0,1453.0,64.2,19.2,7.8,1.0,7.7,12.4,23.4,1.9,,,,456627.0,20253.0,31378.0,5535.0,38.5,33.4,24.5,92.3,7.7,92.3,7.7,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,19
2012,285128,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,20
2013,283253,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,21
2014,285621,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,22
2015,294313,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2RVIC,Rest of Vic.,23
2016,292894,80,5105.0,3704.0,444984.0,2259.0,4230.0,4637.0,24354.0,494252.0,8167.0,38164.0,70247.0,7753.0,618583.0,155827.0,16673.0,365732.0,538228.0,2.0,120500.0,26309.0,159025.0,39971.0,19859.0,4770.0,370436.0,3.0,488609.0,109017.0,411486.0,48.6,31.8,6.6,9.4,3.6,78.0,19.0,1029.0,1475.0,63.0,18.4,7.9,0.9,9.8,12.5,24.3,1.9,10793.0,420785.0,74918.0,479310.0,36513.0,14747.0,4696.0,37.8,33.2,25.1,94.2,5.8,91.4,8.6,30.4,18.9,6.9,16.1,6.3,16.5,21.2,6.4,7.6,18.3,21.9,19.8,18.1,17.4,13.9,24.1,17.3,5.1,7.9,7.7,6.9,6.7,5.2,10.9,7.0,26.5,22.1,21.4,19.5,19.1,16.8,16.7,15.8,8.3,8.5,7.7,7.3,7.5,6.6,6.2,5.5,2RVIC,Rest of Vic.,24
2011,462914,95,39872.0,51888.0,649142.0,9724.0,10426.0,7282.0,31320.0,813629.0,40817.0,40790.0,102175.0,13205.0,1010616.0,159969.0,38362.0,534159.0,732495.0,3.0,205865.0,40692.0,202739.0,60168.0,28095.0,10939.0,548496.0,3.0,717436.0,158395.0,625426.0,47.3,36.3,4.7,8.5,3.2,,,1388.0,2073.0,63.8,20.7,7.3,1.1,7.1,10.2,18.8,1.9,,,,578847.0,62557.0,85756.0,4983.0,27.3,36.8,33.0,90.0,10.0,88.3,11.7,34.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,25
2012,426541,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,26
2013,434259,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,27
2014,426405,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,28
2015,430331,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3GBRI,Greater Brisbane,29
2016,419898,105,39239.0,49938.0,711211.0,10776.0,11918.0,8137.0,30962.0,873942.0,39558.0,49157.0,103120.0,8001.0,1073778.0,173424.0,41605.0,574438.0,789464.0,3.0,222264.0,44428.0,217362.0,64309.0,32009.0,11119.0,591505.0,3.0,756862.0,186432.0,689402.0,46.6,37.0,4.4,8.6,3.4,86.4,11.2,1581.0,1987.0,63.4,21.0,7.2,0.9,7.5,10.8,18.6,1.9,24564.0,586474.0,131576.0,602947.0,79228.0,99679.0,4659.0,26.4,35.7,34.5,93.6,6.4,87.1,12.9,41.5,15.4,11.1,16.7,11.4,14.0,16.8,10.1,12.3,15.8,14.5,18.3,13.3,15.5,12.7,19.7,15.7,11.4,10.6,13.8,9.1,12.3,8.4,15.5,10.7,14.0,14.3,14.1,15.8,17.6,18.6,15.2,16.0,10.1,10.5,10.3,11.9,13.1,13.6,10.8,10.7,3GBRI,Greater Brisbane,30
2011,432019,58,3079.0,15087.0,722869.0,9343.0,11089.0,11197.0,43786.0,830821.0,13722.0,58474.0,105909.0,15904.0,1024830.0,193539.0,34607.0,586664.0,814810.0,3.0,205378.0,39267.0,250365.0,68368.0,27916.0,8387.0,599677.0,3.0,769704.0,184590.0,614013.0,48.5,33.2,5.4,9.6,3.4,,,1184.0,1894.0,63.0,20.2,6.9,1.0,9.0,10.2,18.6,1.9,,,,636452.0,66872.0,95966.0,14593.0,30.5,32.4,33.4,90.6,9.4,87.9,12.1,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,31
2012,394489,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,32
2013,403977,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,33
2014,398240,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,34
2015,404617,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3RQLD,Rest of Qld,35
2016,393247,85,4872.0,13715.0,768647.0,8834.0,9720.0,11001.0,39095.0,866980.0,15253.0,63168.0,103233.0,10891.0,1059525.0,215655.0,36293.0,615423.0,867368.0,3.0,208669.0,43132.0,264087.0,71927.0,33059.0,8773.0,629644.0,3.0,789640.0,208304.0,677623.0,47.2,33.8,5.3,10.0,3.7,81.3,15.8,1332.0,1795.0,62.9,19.6,6.8,0.8,9.9,10.7,19.1,1.9,24125.0,655268.0,135598.0,666707.0,95758.0,87102.0,12153.0,30.3,31.9,33.9,93.5,6.5,87.3,12.7,49.4,17.8,8.0,16.6,7.8,14.7,21.0,7.4,8.8,19.4,17.0,20.9,14.3,14.7,12.6,30.4,17.9,7.6,8.3,9.1,7.3,7.9,6.7,12.1,7.5,17.7,17.3,16.8,17.1,19.9,16.1,17.0,19.2,8.3,8.6,8.1,8.3,8.8,6.4,7.5,6.9,3RQLD,Rest of Qld,36
2011,260193,80,9383.0,28939.0,399487.0,3262.0,6495.0,4938.0,14291.0,470989.0,13744.0,18496.0,65978.0,7616.0,576823.0,131147.0,18658.0,325617.0,475428.0,2.0,114846.0,25993.0,127894.0,36963.0,18734.0,5980.0,330409.0,3.0,440225.0,84798.0,394380.0,47.5,34.4,6.2,9.1,2.9,,,1052.0,1708.0,65.8,18.9,8.0,1.0,6.3,11.8,17.7,1.8,,,,366912.0,57696.0,49416.0,1228.0,31.5,36.4,28.1,90.6,9.4,90.1,9.9,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4GADE,Greater Adelaide,37
