gcc_code16,m_tot_15_19_yr,m_tot_20_24_yr,m_tot_25_34_yr,m_tot_35_44_yr,m_tot_45_54_yr,m_tot_55_64_yr,m_tot_65_74_yr,m_tot_75_84_yr,m_tot_85_yr_over,m_tot_tot,f_agr_fstry_fsh_15_19,f_agr_fstry_fsh_20_24,f_agr_fstry_fsh_25_34,f_agr_fstry_fsh_35_44,f_agr_fstry_fsh_45_54,f_agr_fstry_fsh_55_64,f_agr_fstry_fsh_65_74,f_agr_fstry_fsh_75_84,f_agr_fstry_fsh_85,f_agr_fstry_fsh_tot,f_min_15_19_yr,f_min_20_24_yr,f_min_25_34_yr,f_min_35_44_yr,f_min_45_54_yr,f_min_55_64_yr,f_min_65_74_yr,f_min_75_84_yr,f_min_85_yr_over,f_min_tot,f_manf_15_19_yr,f_manf_20_24_yr,f_manf_25_34_yr,f_manf_35_44_yr,f_manf_45_54_yr,f_manf_55_64_yr,f_manf_65_74_yr,f_manf_75_84_yr,f_manf_85_yr_over,f_manf_tot,f_elec_gas_wtr_wst_sv_15_19,f_elec_gas_wtr_wst_sv_20_24,f_elec_gas_wtr_wst_sv_25_34,f_elec_gas_wtr_wst_sv_35_44,f_elec_gas_wtr_wst_sv_45_54,f_elec_gas_wtr_wst_sv_55_64,f_elec_gas_wtr_wst_sv_65_74,f_elec_gas_wtr_wst_sv_75_84,f_elec_gas_wtr_wst_sv_85,f_elec_gas_wtr_wst_sv_tot,f_con_15_19_yr,f_con_20_24_yr,f_con_25_34_yr,f_con_35_44_yr,f_con_45_54_yr,f_con_55_64_yr,f_con_65_74_yr,f_con_75_84_yr,f_con_85_yr_over,f_con_tot,f_whl_trd_15_19_yr,f_whl_trd_20_24_yr,f_whl_trd_25_34_yr,f_whl_trd_35_44_yr,f_whl_trd_45_54_yr,f_whl_trd_55_64_yr,f_whl_trd_65_74_yr,f_whl_trd_75_84_yr,f_whl_trd_85_yr_over,f_whl_trd_tot,f_re_trd_15_19_yr,f_re_trd_20_24_yr,f_re_trd_25_34_yr,f_re_trd_35_44_yr,f_re_trd_45_54_yr,f_re_trd_55_64_yr,f_re_trd_65_74_yr,f_re_trd_75_84_yr,f_re_trd_85_yr_over,f_re_trd_tot,f_acc_food_svc_15_19,f_acc_food_svc_20_24,f_acc_food_svc_25_34,f_acc_food_svc_35_44,f_acc_food_svc_45_54,f_acc_food_svc_55_64,f_acc_food_svc_65_74,f_acc_food_svc_75_84,f_acc_food_svc_85,f_acc_food_svc_tot,f_trp_pos_wh_15_19,f_trp_pos_wh_20_24,f_trp_pos_wh_25_34,f_trp_pos_wh_35_44,f_trp_pos_wh_45_54,f_trp_pos_wh_55_64,f_trp_pos_wh_65_74,f_trp_pos_wh_75_84,f_trp_pos_wh_85,f_trp_pos_wh_tot,f_in_med_tcom_15_19,f_in_med_tcom_20_24,f_in_med_tcom_25_34,f_in_med_tcom_35_44,f_in_med_tcom_45_54,f_in_med_tcom_55_64,f_in_med_tcom_65_74,f_in_med_tcom_75_84,f_in_med_tcom_85,f_in_med_tcom_tot,f_fin_in_svc_15_19,f_fin_in_svc_20_24,f_fin_in_svc_25_34,f_fin_in_svc_35_44,f_fin_in_svc_45_54,f_fin_in_svc_55_64,f_fin_in_svc_65_74,f_fin_in_svc_75_84,f_fin_in_svc_85,f_fin_in_svc_tot,f_rnt_hrg_rea_est_serv_15_19,f_rnt_hrg_rea_est_serv_20_24,f_rnt_hrg_rea_est_serv_25_34,f_rnt_hrg_rea_est_serv_35_44,f_rnt_hrg_rea_est_serv_45_54,f_rnt_hrg_rea_est_serv_55_64,f_rnt_hrg_rea_est_serv_65_74,f_rnt_hrg_rea_est_serv_75_84,f_rnt_hrg_rea_est_serv_85,f_rnt_hrg_rea_est_serv_tot,f_prof_sc_tech_serv_15_19,f_prof_sc_tech_serv_20_24,f_prof_sc_tech_serv_25_34,f_prof_sc_tech_serv_35_44,f_prof_sc_tech_serv_45_54,f_prof_sc_tech_serv_55_64,f_prof_sc_tech_serv_65_74,f_prof_sc_tech_serv_75_84,f_prof_sc_tech_serv_85,f_prof_sc_tech_serv_tot,f_adm_sup_serv_15_19,f_adm_sup_serv_20_24,f_adm_sup_serv_25_34,f_adm_sup_serv_35_44,f_adm_sup_serv_45_54,f_adm_sup_serv_55_64,f_adm_sup_serv_65_74,f_adm_sup_serv_75_84,f_adm_sup_serv_85_over,f_adm_sup_serv_tot,f_pubad_saf_15_19,f_pubad_saf_20_24,f_pubad_saf_25_34,f_pubad_saf_35_44,f_pubad_saf_45_54,f_pubad_saf_55_64,f_pubad_saf_65_74,f_pubad_saf_75_84,f_pubad_saf_85_over,f_pubad_saf_tot,f_ed_trng_15_19,f_ed_trng_20_24,f_ed_trng_25_34,f_ed_trng_35_44,f_ed_trng_45_54,f_ed_trng_55_64,f_ed_trng_65_74,f_ed_trng_75_84,f_ed_trng_85_over,f_ed_trng_tot,f_hlth_cre_socia_assist_15_19,f_hlth_cre_socia_assist_20_24,f_hlth_cre_socia_assist_25_34,f_hlth_cre_socia_assist_35_44,f_hlth_cre_socia_assist_45_54,f_hlth_cre_socia_assist_55_64,f_hlth_cre_socia_assist_65_74,f_hlth_cre_socia_assist_75_84,f_hlth_cre_socia_assist_85,f_hlth_cre_socia_assist_tot,f_arts_rec_svc_15_19,f_arts_rec_svc_20_24,f_arts_rec_svc_25_34,f_arts_rec_svc_35_44,f_arts_rec_svc_45_54,f_arts_rec_svc_55_64,f_arts_rec_svc_65_74,f_arts_rec_svc_75_84,f_arts_rec_svc_85,f_arts_rec_svc_tot,f_oth_svc_15_19_yr,f_oth_svc_20_24_yr,f_oth_svc_25_34_yr,f_oth_svc_35_44_yr,f_oth_svc_45_54_yr,f_oth_svc_55_64_yr,f_oth_svc_65_74_yr,f_oth_svc_75_84_yr,f_oth_svc_85_yr_over,f_oth_svc_tot,gcc_name16
1RNSW,32236,50848,110626,115847,126295,103783,29863,5331,830,575663,441,928,2082,2558,3732,3905,2974,902,126,17660,30,226,981,770,633,220,33,4,4,2899,1203,1334,3047,3444,3947,2526,493,49,5,16046,26,108,424,703,766,390,55,0,0,2472,213,619,2048,2751,2902,1898,393,51,3,10881,239,520,1269,1418,1601,1068,247,34,4,6398,10623,8964,11694,11428,13531,9732,1881,156,30,68033,13099,8744,8561,6894,7669,5623,1170,78,8,51846,180,522,1330,1959,2688,2056,559,61,3,9350,318,532,908,900,867,575,138,11,0,4243,203,1084,3711,3585,3575,1958,254,25,6,14397,297,918,1756,1828,1951,1342,375,46,3,8514,513,1956,5727,6522,5844,3952,1052,97,12,25678,388,1238,3421,4386,5642,4070,924,103,13,20180,295,1546,7020,9715,9952,5635,724,42,8,34944,1051,3891,13100,17330,19470,14961,2324,159,19,72313,2115,9051,23898,25776,33095,28411,4332,201,36,126905,686,885,1207,1292,1296,903,286,26,4,6595,1086,2252,4219,4125,4055,2603,649,65,13,19070,Rest of NSW
1GSYD,45940,108904,300737,284270,244347,165663,45784,5690,747,1202063,96,254,604,767,1015,740,307,71,10,3857,5,44,268,306,221,101,22,5,0,970,1154,2383,8698,10604,11212,6913,1127,94,20,42206,26,171,981,1282,1066,490,60,0,0,4073,398,1770,6577,7113,6025,3189,702,81,9,25867,414,1939,8096,8652,7352,4034,791,61,9,31345,13970,20488,25998,19873,19377,12478,2794,243,20,115239,17642,14913,17769,9725,8959,5387,973,94,22,75485,384,1821,6308,6954,7082,4282,653,36,4,27527,766,2403,8305,6948,4336,1988,407,38,3,25185,470,4330,21491,20625,13715,6132,1008,84,35,67887,584,2239,5924,4930,4157,2362,784,129,15,21121,1199,9151,31553,25281,18202,9841,2783,230,25,98271,587,3545,11247,9699,9226,5794,1391,120,3,41614,508,2681,12923,15293,14173,8871,1513,78,13,56050,3234,9581,28187,28618,30195,22936,4872,378,34,128032,3440,16396,48210,43362,45829,34690,8061,529,35,200557,1638,2634,4455,3623,2885,1605,500,74,12,17435,1774,4122,9768,8512,7631,4572,1085,101,5,37578,Greater Sydney
2RVIC,17704,28349,60008,62795,70053,60099,17934,3240,590,320772,350,647,1651,2231,2897,3115,2087,598,70,13655,7,33,107,121,127,79,12,0,0,483,1075,1164,2210,2514,3061,2178,363,28,4,12595,25,113,453,504,472,239,19,4,0,1822,103,303,1095,1416,1529,933,168,25,3,5568,149,342,683,803,986,634,118,11,0,3732,6058,5070,6427,6292,7880,5564,974,74,23,38357,6861,4495,3999,3528,3903,2813,641,42,27,26311,94,350,715,976,1468,1135,264,24,11,5037,191,312,595,594,546,372,93,6,4,2714,61,525,1751,1849,1781,916,131,15,3,7039,115,403,827,817,816,563,156,18,5,3713,237,965,2844,3294,3072,2000,549,49,10,13019,174,577,1568,2066,2628,2028,480,51,16,9581,152,860,3429,4634,5225,3537,615,39,9,18509,578,1948,7076,8943,10579,7927,1186,62,23,38308,875,5058,13821,14457,18895,16498,2504,114,38,72254,479,610,815,902,874,606,199,13,3,4501,457,1281,2221,1973,2069,1442,375,30,11,9860,Rest of Vic.
2GMEL,41651,102708,283059,258505,227341,151846,40985,4989,760,1111848,112,363,925,1047,1231,853,375,100,17,5022,10,26,277,389,255,126,22,3,0,1103,2130,2960,9737,11860,12670,7435,1300,102,7,48212,31,365,2260,1967,1291,547,67,3,0,6541,257,1434,5441,5726,5373,2732,595,55,7,21631,472,2044,6823,7261,6883,3555,677,49,9,27776,14728,22996,26434,19438,20282,12485,2574,191,14,119140,17156,15720,15820,8398,7594,4227,746,76,10,69749,275,1725,6151,6355,6480,3622,567,30,5,25210,657,1658,5474,4519,3169,1465,262,12,5,17220,220,2779,14754,13228,9321,4224,766,57,21,45374,367,1928,5443,4042,3475,1932,591,73,19,17864,635,6549,27092,21887,16059,8331,2227,175,23,82987,429,3226,10353,8554,8529,5354,1235,116,16,37813,302,2247,12147,14072,13606,8328,1535,125,15,52382,2395,7921,29444,29282,31308,22070,3941,247,46,126650,1824,14337,50700,44297,45611,33146,6734,397,51,197109,2015,3280,5074,3906,3184,1745,524,55,17,19793,1167,3983,9595,7586,7355,4115,990,75,11,34872,Greater Melbourne
3GBRI,27805,56136,130892,125538,113732,75078,18692,2100,254,550212,129,409,844,736,831,654,300,79,3,3992,16,120,1017,950,529,217,25,0,3,2883,890,1417,3945,4563,5051,2811,515,34,0,19228,32,132,759,990,714,351,34,4,0,3013,287,932,2932,3168,2937,1626,325,21,0,12223,277,834,2380,2542,2594,1343,262,24,0,10259,9179,10802,11590,8922,9224,5976,1225,64,5,56994,12053,8129,7862,4077,3551,2055,410,30,9,38180,222,1060,3441,3677,3763,2173,427,27,3,14794,395,811,1588,1290,1048,602,109,5,0,5850,186,1313,5722,5347,3913,1924,269,27,8,18698,355,1254,2747,2297,2308,1473,456,62,12,10974,769,4125,10862,9757,7128,3697,892,72,6,37300,429,1882,5096,4592,4322,2814,617,49,10,19805,271,1699,8210,10196,9217,4954,642,23,3,35217,1498,4323,13540,17616,18943,11934,2004,120,11,69974,2251,9792,25811,24301,25473,17770,3187,133,6,108725,864,1188,1830,1572,1294,781,265,26,3,7821,1072,2424,5059,4130,3858,2201,528,38,5,19310,Greater Brisbane
3RQLD,31214,49257,113812,118315,122432,93203,27061,4109,507,559913,517,1261,2724,2695,3334,3253,2041,539,61,16436,71,415,1634,1259,1048,431,48,3,0,4907,1036,1107,2683,3205,3713,2459,531,46,9,14783,27,128,630,685,596,338,33,5,0,2442,279,771,2818,3404,3481,2237,486,35,3,13516,305,621,1658,1945,2038,1167,270,19,3,8033,10835,8941,11382,11289,13104,9015,1992,130,23,66709,12246,8010,9886,7522,7318,4805,1010,84,10,50897,230,691,2233,2527,3223,2123,563,69,8,11664,355,648,1025,958,939,535,126,7,0,4591,228,1001,3147,3026,2900,1619,287,37,4,12248,401,1061,2205,2370,2671,2051,665,90,12,11528,675,2266,6053,6574,5547,3572,1032,74,6,25803,492,1496,4161,4705,5484,3851,880,85,7,21155,335,1561,5941,7360,7364,4363,594,38,3,27565,1106,3682,12635,18326,19695,12763,2006,138,14,70366,2121,8113,21825,23120,28321,22465,3788,183,22,109956,882,1146,1807,1756,1669,1047,283,38,4,8637,1187,2258,4716,4463,4138,2624,656,52,4,20085,Rest of Qld
4RSAU,4175,6765,15357,16196,19743,17329,5246,963,172,85948,135,299,734,998,1321,1353,817,228,23,5899,3,47,167,122,142,68,7,3,0,559,271,298,675,840,965,631,118,16,8,3817,6,9,40,47,69,47,9,0,0,236,31,56,244,319,380,282,66,8,0,1389,51,102,247,261,311,195,39,4,0,1213,1464,1080,1585,1751,2256,1548,280,23,5,9994,1504,922,1086,1018,1273,914,182,12,3,6927,16,87,159,272,447,353,105,16,0,1459,27,69,118,93,83,82,13,3,0,487,27,104,335,347,338,207,33,4,0,1397,26,67,162,210,242,166,42,6,0,923,45,180,528,527,552,408,108,13,0,2358,50,160,499,550,860,628,140,13,0,2913,38,171,679,1000,1069,656,107,9,3,3732,89,502,1754,2167,2357,1963,368,17,8,9221,231,1087,2670,2959,4534,4238,605,17,8,16351,50,87,121,128,146,106,33,7,0,680,98,232,460,515,537,349,92,14,3,2298,Rest of SA
4GADE,12805,27810,66982,65306,64962,47209,12128,1464,185,298855,54,142,319,460,544,402,211,47,8,2184,3,34,251,231,179,78,15,0,0,793,650,849,2187,2606,3058,1914,370,25,9,11663,5,99,584,524,451,211,26,3,0,1901,120,459,1250,1323,1471,944,264,23,4,5864,106,327,1022,1162,1315,777,176,10,0,4908,5492,6450,6660,5087,6177,3940,819,60,3,34687,5829,4842,4182,2440,2210,1289,282,15,3,21102,61,331,1025,1090,1294,799,160,17,0,4769,195,363,955,707,549,362,110,8,0,3253,75,594,2709,2821,2653,1439,211,15,3,10516,95,385,967,860,975,680,218,27,3,4207,204,1273,4362,4336,3597,2239,585,51,0,16631,162,783,2463,2433,2911,2012,466,31,7,11256,80,811,4626,5730,5629,3664,444,17,4,21004,569,2090,7092,8258,9251,7297,1335,89,8,35984,724,5003,15688,14986,17475,13888,2288,103,14,70179,453,662,905,814,759,507,150,27,0,4284,416,1234,2617,2219,2350,1598,405,33,0,10868,Greater Adelaide
5GPER,21729,44310,115011,105250,97726,67027,18520,2197,232,472000,78,182,512,532,661,474,234,50,4,2720,39,440,3019,2503,1697,640,78,4,0,8417,844,1043,2963,3133,3196,1964,338,36,3,13517,5,137,886,796,679,344,39,3,0,2898,221,987,3761,3425,2930,1662,345,25,0,13356,167,677,1943,1776,1928,1165,229,20,0,7917,8011,9442,10174,8155,9231,5914,1228,87,4,52246,8554,6522,7255,3835,3178,1854,337,36,3,31573,201,863,2408,2210,2385,1584,312,25,0,9988,305,505,1020,768,636,406,119,17,0,3775,104,919,3931,3374,3025,1630,259,29,4,13269,186,855,2180,1868,1983,1373,439,51,3,8942,343,2282,8610,7147,5813,3124,844,71,9,28240,273,1311,4018,3650,3461,2329,544,42,3,15644,205,1393,6403,6743,7167,4804,773,30,6,27533,1067,3258,10688,14016,16517,11178,2048,128,17,58914,1325,7401,21439,19391,20609,16024,3265,163,18,89631,821,1212,1859,1517,1312,839,241,26,3,7816,907,2122,4858,3524,3456,2021,459,49,8,17398,Greater Perth
5RWAU,5904,10082,32453,33148,34214,25628,7272,1192,154,150048,153,334,885,1072,1343,1346,881,210,18,6247,36,345,1794,1182,1035,427,44,3,3,4862,223,222,742,676,652,446,95,11,0,3072,4,34,146,130,149,73,4,0,0,543,47,199,768,751,777,513,105,9,0,3164,59,134,306,304,356,175,48,9,0,1393,2172,1264,2242,2385,2929,1986,341,28,3,13352,1605,1202,2175,1656,1801,1255,268,23,4,9990,53,201,530,597,776,613,152,8,5,2938,66,81,142,129,138,87,22,3,0,672,55,157,539,424,447,236,36,4,0,1896,68,236,373,418,450,308,90,7,0,1958,95,258,938,1011,915,658,162,15,0,4048,94,317,857,955,1172,795,189,21,3,4405,116,348,1383,1686,1723,1166,185,11,3,6621,156,672,2627,4081,4457,3075,477,34,5,15578,381,1180,3529,4069,4855,4586,797,44,8,19448,112,127,318,316,296,240,62,4,0,1473,257,459,893,857,839,538,127,12,0,3978,Rest of WA
6GHOB,2342,4356,10506,10362,10986,8418,2083,256,31,49345,9,25,97,89,114,80,27,7,0,445,0,0,6,5,3,3,0,0,0,22,135,125,213,253,282,219,42,8,0,1285,0,25,144,168,128,53,4,0,0,526,10,43,120,183,181,135,32,0,0,717,27,36,102,96,144,91,8,4,0,512,923,998,1135,1005,1041,699,152,16,0,5979,1026,874,893,569,514,284,73,7,0,4236,20,60,154,195,221,152,34,0,0,839,49,94,225,160,157,102,17,3,0,800,20,89,411,388,295,197,21,0,0,1422,7,72,132,136,144,112,32,8,0,657,58,129,618,618,590,362,92,8,0,2476,41,118,331,338,367,303,65,6,0,1570,40,196,1146,1567,1594,972,110,3,0,5631,62,271,1178,1665,1876,1490,228,14,0,6780,146,836,2325,2342,2903,2451,375,24,6,11406,97,117,213,231,184,142,27,7,0,1027,71,196,414,421,391,233,76,10,0,1807,Greater Hobart
6RTAS,3161,5246,10774,11559,14115,11751,3056,519,79,60275,81,151,376,475,597,508,227,66,4,2484,0,16,36,37,46,19,4,3,0,161,175,243,383,495,663,435,51,4,0,2438,0,17,74,72,86,46,4,0,0,303,18,63,146,219,232,174,42,0,0,891,36,48,138,191,231,139,24,3,0,799,1194,985,1248,1333,1622,1010,195,20,3,7605,1259,867,955,793,939,642,150,5,0,5603,27,61,162,244,324,286,79,6,0,1192,25,42,108,84,106,103,14,3,0,476,31,117,354,341,307,193,16,4,0,1361,35,91,144,159,213,126,33,7,0,801,48,187,475,533,477,361,107,3,4,2182,43,121,315,422,568,401,79,16,0,1954,24,119,578,885,1006,670,81,0,0,3363,57,259,1121,1825,2159,1564,253,13,3,7260,199,882,2137,2345,3686,3132,453,24,3,12857,90,104,162,154,187,147,35,0,0,883,113,251,450,431,444,275,70,5,0,2038,Rest of Tas.
7RNTE,756,1512,4385,3834,3937,3310,893,91,14,18732,53,98,118,71,82,91,22,10,0,544,3,21,81,51,55,12,0,0,0,222,14,11,14,27,33,19,4,0,0,117,0,4,14,18,21,6,0,0,0,59,8,24,82,68,81,60,13,0,0,338,11,16,28,14,24,25,3,0,0,123,143,132,256,234,245,194,39,3,0,1245,140,155,382,164,203,169,38,3,0,1253,5,19,79,60,80,51,18,0,0,317,11,7,23,32,12,11,3,0,0,101,3,13,54,31,29,19,4,0,0,158,4,17,40,38,37,36,11,0,0,182,11,35,149,137,136,101,35,0,0,609,13,62,128,111,138,80,26,4,0,563,33,148,649,534,606,416,63,0,0,2450,49,127,691,650,677,618,89,13,0,2913,60,240,859,801,869,719,146,6,0,3693,26,31,75,93,84,61,17,0,0,386,31,62,181,168,183,108,28,0,0,757,Rest of NT
7GDAR,1605,3628,11288,9618,8485,5646,1371,137,11,41792,10,29,53,44,88,56,26,10,0,307,3,11,62,54,50,25,0,0,0,210,52,39,118,124,112,66,13,0,0,522,5,16,99,126,78,45,5,0,0,379,21,82,393,342,256,167,26,0,0,1297,18,52,121,95,97,46,17,0,0,432,465,444,684,513,519,369,80,5,0,3071,423,427,769,445,344,186,48,6,0,2645,22,76,233,191,223,112,19,4,0,881,25,39,111,72,49,33,14,0,0,341,9,61,231,168,122,59,11,0,0,667,15,89,216,128,127,78,36,3,0,687,42,142,606,465,394,236,59,4,0,1947,20,94,325,303,297,165,39,3,0,1250,67,485,1573,1543,1388,842,137,5,0,6037,74,245,923,1128,1109,715,132,13,0,4335,105,399,1669,1219,1045,841,164,12,0,5451,74,92,236,158,128,73,23,3,0,785,65,116,316,217,204,117,32,4,0,1072,Greater Darwin
8ACTE,5006,10478,26661,24901,21255,12873,3430,369,44,105014,3,21,53,45,35,42,24,10,5,227,0,0,5,4,3,3,0,0,0,20,152,88,184,204,176,130,53,12,0,996,4,40,156,109,62,23,6,0,0,401,33,110,299,322,295,142,49,3,0,1251,30,67,119,128,134,51,19,0,0,550,1559,1698,1542,984,932,703,195,19,0,7626,1995,1556,1178,654,508,324,63,3,0,6286,27,92,256,253,238,176,32,0,0,1080,87,168,381,347,272,171,37,3,0,1479,25,176,546,401,300,193,43,3,4,1692,50,198,384,279,219,160,60,9,0,1354,113,823,2361,2015,1505,878,209,21,3,7928,51,221,698,560,563,368,93,10,0,2566,194,1553,8728,8850,7798,3510,367,20,0,31019,441,953,2863,3155,3044,1994,436,33,3,12927,405,1644,4300,3469,3335,2405,474,30,3,16059,236,295,411,362,289,198,54,7,0,1850,213,452,770,695,608,329,94,3,0,3163,Australian Capital Territory
9OTER,36,92,253,274,304,275,131,21,3,1386,0,0,3,0,0,3,0,3,0,7,0,0,9,3,3,3,0,0,0,17,0,0,3,3,6,10,0,0,0,18,0,3,0,0,3,0,0,0,0,4,0,3,0,0,5,0,0,0,0,12,0,0,0,0,0,4,0,0,0,9,12,3,12,13,28,25,16,5,0,121,11,14,32,30,36,24,13,0,0,161,0,0,8,8,9,6,3,0,0,37,0,0,0,3,0,5,0,0,0,6,0,0,4,5,3,4,0,0,0,22,0,0,0,3,9,6,3,0,0,19,0,0,4,14,6,3,0,0,0,32,3,0,8,24,20,16,4,0,0,75,3,18,46,38,50,37,10,0,0,203,3,5,28,33,31,31,7,0,0,130,3,3,12,21,27,33,17,0,0,121,3,3,5,10,0,3,3,0,0,29,0,3,3,7,10,5,0,0,0,21,Other Territories
