lga_name_2016,lga_code_2016,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total
Albury (C),10050,115,20,377,170,92,125,52,94,8,1058,3,6,0,5,4,3,0,4,0,28,25,31,14,18,21,10,22,17,0,165,29,28,58,42,27,46,37,77,48,388,1848,4172,2690,1948,1880,917,734,898,188,15285
Armidale Regional (A),10130,41,9,151,58,40,40,19,47,3,411,0,0,3,3,0,4,0,3,0,9,19,19,8,11,9,3,8,4,0,82,38,47,21,23,18,22,15,45,18,244,1218,2698,1052,956,1023,432,214,610,103,8299
Ballina (A),10250,88,18,284,142,71,81,21,60,13,777,3,0,0,0,3,0,0,0,0,13,24,28,11,15,15,7,6,13,4,124,24,24,64,41,28,33,24,58,50,340,1627,3646,1915,1549,1322,708,348,756,187,12065
Balranald (A),10300,7,0,13,0,3,0,3,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,7,0,6,7,3,0,5,8,3,41,78,79,79,56,45,6,27,65,3,440
Bathurst Regional (A),10470,82,23,269,118,59,53,30,79,7,727,0,4,0,0,4,3,0,4,0,19,17,15,16,18,24,7,21,8,12,129,34,22,59,33,34,27,29,65,44,339,1576,3194,2113,1663,1429,688,555,846,165,12216
Bega Valley (A),10550,82,15,242,89,55,67,18,98,9,664,0,0,0,0,0,0,0,4,0,8,27,19,14,19,17,5,5,17,0,116,47,32,59,38,28,40,21,58,22,352,1188,1979,1589,1116,874,555,322,769,104,8492
Bellingen (A),10600,29,4,77,17,18,17,12,19,3,195,0,0,0,0,0,0,0,0,0,4,8,11,3,5,5,0,4,3,3,46,12,7,23,11,16,14,9,20,8,123,471,987,534,431,338,177,141,240,52,3367
Berrigan (A),10650,25,3,45,21,12,12,3,21,0,153,0,0,0,0,0,0,0,0,0,3,11,0,3,3,0,0,4,3,0,26,20,6,20,14,11,10,13,14,6,121,413,368,309,260,188,90,115,181,25,1954
Blacktown (C),10750,432,127,1413,612,554,469,454,442,73,4578,19,8,14,16,18,14,33,43,6,177,148,215,183,176,266,125,259,173,56,1602,183,200,359,266,312,188,426,403,478,2813,10817,26152,14660,10673,15473,6055,7260,6110,1815,99021
Bland (A),10800,20,0,22,15,3,3,6,8,0,78,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,11,29,3,11,5,3,10,14,11,10,89,364,254,248,123,142,69,115,112,24,1442
Blayney (A),10850,21,0,46,12,7,7,7,11,0,113,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,0,3,0,0,22,18,5,5,8,9,3,11,8,3,79,366,443,369,215,234,101,141,155,32,2047
Blue Mountains (C),10900,132,39,401,219,143,96,42,87,9,1165,8,8,0,7,0,3,0,7,0,37,54,120,29,50,53,24,19,22,19,378,49,74,71,64,63,32,50,60,74,540,3544,9567,3699,3073,3135,1247,777,1255,346,26646
Bogan (A),10950,6,3,12,3,3,0,5,4,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,9,7,7,3,4,3,4,4,5,47,146,108,106,72,49,22,60,59,11,626
Botany Bay (C),11100,115,37,300,107,90,69,43,68,6,835,0,0,5,7,0,9,3,7,0,29,40,39,17,27,26,21,19,15,10,217,31,46,46,53,51,32,46,52,67,409,2269,4654,2122,1625,2204,1180,702,860,255,15876
Bourke (A),11150,3,0,15,3,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,6,5,3,0,5,0,0,0,8,3,28,113,136,75,129,54,20,19,39,8,586
Brewarrina (A),11200,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,3,4,3,0,3,6,3,29,63,69,22,51,20,6,10,30,8,284
Broken Hill (C),11250,22,9,103,54,18,13,15,16,3,255,0,0,0,3,0,0,3,0,0,4,6,3,4,11,6,3,10,4,0,48,16,12,21,30,20,28,19,30,14,190,402,1006,818,693,464,193,284,222,58,4133
Hilltops (A),13910,39,7,94,41,22,26,21,49,5,296,0,0,0,0,0,0,0,3,0,4,12,3,10,3,5,0,4,6,0,47,36,16,35,14,19,23,18,46,11,220,930,835,767,508,450,256,220,482,52,4505
Hornsby (A),14000,202,72,597,212,201,169,43,109,17,1624,7,4,5,14,9,4,8,9,0,47,110,193,54,54,117,60,26,25,24,667,91,141,80,73,115,55,25,49,148,788,9246,22063,5429,4029,7407,2855,950,1631,688,54298
Hunters Hill (A),14100,27,3,42,20,20,16,4,4,0,133,0,3,0,0,0,0,0,0,0,0,24,28,0,7,13,6,0,3,0,82,14,18,3,11,5,7,0,9,9,76,1183,2081,273,250,605,283,39,72,71,4856
Inner West (A),14170,391,139,980,366,267,233,74,147,17,2619,7,13,20,15,7,6,3,22,3,111,276,577,92,92,253,98,45,32,38,1506,138,264,120,129,130,92,63,94,260,1288,13654,34511,6487,5633,9129,4137,1283,2309,1139,78282
Inverell (A),14200,30,4,74,25,12,10,10,32,0,196,0,0,0,0,0,0,0,0,0,0,6,3,3,3,7,6,4,8,0,34,26,12,42,25,13,21,22,51,37,247,636,807,657,511,355,232,149,413,78,3843
Junee (A),14300,6,0,30,11,7,7,8,17,0,88,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,3,0,14,8,3,7,6,13,5,6,13,5,72,274,250,202,208,155,70,101,140,21,1422
Kempsey (A),14350,36,11,144,84,29,39,24,48,3,411,0,0,0,3,0,3,0,3,0,11,4,8,8,9,10,3,15,3,0,58,29,19,46,57,22,20,28,42,35,299,698,1295,1017,991,668,356,287,526,119,5965
Kiama (A),14400,37,12,109,46,37,23,11,27,3,310,0,0,0,0,0,0,0,0,0,3,9,15,11,6,7,3,6,4,7,70,24,9,23,15,16,9,9,11,15,138,1063,2292,1168,762,776,333,246,272,101,7009
Ku-ring-gai (A),14500,158,51,250,129,120,81,17,39,3,859,11,3,0,8,0,7,3,0,0,27,141,200,20,39,112,53,12,12,17,604,79,121,37,26,54,37,8,17,125,510,10108,20060,2178,2115,5411,2331,355,665,768,43989
Kyogle (A),14550,17,0,35,17,7,3,7,20,3,106,0,0,0,0,0,0,0,0,0,7,4,3,0,3,0,0,0,5,0,11,26,5,6,9,3,5,7,16,10,82,376,426,266,253,191,71,80,219,36,1915
Lachlan (A),14600,11,0,20,14,9,10,3,5,0,74,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,22,10,18,5,6,3,15,15,8,99,350,269,194,147,119,67,82,84,18,1336
Lake Macquarie (C),14650,294,97,1156,424,353,313,153,285,29,3107,0,3,0,8,5,14,3,13,0,43,63,95,88,61,81,32,62,46,28,560,91,114,227,164,140,131,131,190,177,1357,6374,15966,11012,6706,7425,3109,2718,3090,768,57170
Lane Cove (A),14700,80,31,148,55,54,40,5,26,10,437,3,3,0,3,6,4,0,0,0,17,33,80,9,20,32,20,4,3,4,206,22,45,11,11,16,12,3,4,43,177,3130,7547,946,869,1864,864,157,259,237,15866
Leeton (A),14750,24,0,55,30,17,9,4,35,3,175,0,0,0,3,0,0,0,0,0,5,4,4,3,0,4,0,4,6,0,30,33,17,15,13,15,11,26,40,11,174,413,582,513,254,300,113,175,305,53,2697
Lismore (C),14850,64,16,280,119,51,53,13,103,7,707,0,3,0,3,0,0,0,10,0,18,14,25,16,12,11,10,13,8,3,124,35,25,43,34,32,48,29,68,39,346,1394,3422,1919,1703,1500,732,477,908,142,12194
Lithgow (C),14870,24,7,106,52,52,19,30,32,4,326,0,0,4,0,0,0,3,7,0,13,5,5,6,5,5,3,13,4,0,45,16,9,42,23,26,16,31,28,16,210,510,875,1074,652,619,233,508,346,74,4889
Liverpool (C),14900,251,69,809,415,349,242,158,227,23,2540,10,8,19,9,14,13,19,22,7,112,87,98,117,92,123,40,91,70,27,745,112,119,243,139,219,153,210,234,332,1772,5745,12835,8711,5592,8059,3229,3375,3046,1145,51731
Liverpool Plains (A),14920,11,0,30,20,10,8,9,15,3,103,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,3,0,18,10,9,7,11,13,5,15,19,4,106,340,313,258,199,181,75,166,157,22,1720
Lockhart (A),14950,9,0,16,4,0,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,0,3,11,0,5,8,0,0,3,5,5,3,27,237,154,102,79,80,32,45,55,14,806
Maitland (C),15050,119,28,498,225,136,150,99,150,9,1419,3,5,0,3,6,3,3,9,3,30,21,25,50,23,32,14,42,13,10,227,42,37,109,65,45,46,69,76,73,557,2388,5333,4849,2677,2825,1258,1531,1241,313,22416
Mid-Coast (A),15240,118,31,523,202,93,161,57,154,9,1343,3,3,4,8,3,0,0,3,5,32,33,21,25,6,27,14,19,20,7,166,83,53,106,95,57,120,92,143,67,814,2364,4478,3446,2694,2064,1440,889,1578,258,19215
Mid-Western Regional (A),15270,34,11,134,68,29,46,38,33,4,397,3,0,0,0,0,3,0,0,0,7,11,7,13,3,6,4,22,17,0,80,32,19,47,22,23,28,45,38,28,288,950,1205,1339,645,621,339,662,447,77,6284
Moree Plains (A),15300,23,4,53,32,20,11,18,19,3,175,0,0,0,0,0,0,0,3,0,3,3,4,3,3,6,3,5,4,3,28,29,12,20,16,27,17,22,21,20,181,670,681,494,367,372,154,181,214,51,3187
Mosman (A),15350,50,20,105,36,30,27,4,13,6,287,0,3,0,3,0,0,0,0,0,14,50,61,4,14,29,24,3,0,9,193,30,37,5,6,23,13,0,6,23,138,2901,5108,504,572,1240,689,62,131,238,11449
Murray River (A),15520,26,5,78,31,25,31,4,18,0,222,0,0,0,0,0,0,0,0,0,3,13,9,4,0,3,0,3,3,0,32,31,9,16,18,8,12,6,24,5,129,691,632,447,299,256,154,119,272,32,2900
Murrumbidgee (A),15560,7,0,13,7,3,3,3,12,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,15,0,11,3,0,7,4,12,3,52,254,147,132,92,110,40,59,100,8,934
Muswellbrook (A),15650,11,3,71,41,20,25,36,28,3,236,0,0,0,0,0,0,0,0,0,3,7,3,16,0,3,0,8,5,0,41,11,5,31,17,6,14,31,30,14,168,406,664,1083,393,413,187,535,314,52,4042
Nambucca (A),15700,24,5,88,58,21,28,10,34,6,277,0,0,0,0,0,0,0,3,3,11,4,7,3,3,3,0,5,14,3,42,18,11,30,37,9,14,10,49,19,196,482,923,720,670,416,214,172,365,79,4039
Narrabri (A),15750,23,4,56,29,15,6,12,18,0,161,0,0,0,0,0,0,0,0,0,3,4,8,11,3,0,0,8,0,0,28,33,5,21,6,19,26,33,37,22,214,551,711,578,327,359,140,254,242,67,3229
Narrandera (A),15800,14,0,22,12,6,3,0,12,0,70,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,3,0,0,0,11,15,3,3,6,7,8,7,15,6,73,287,247,224,150,128,59,56,136,17,1301
Narromine (A),15850,4,3,30,11,5,0,7,9,0,79,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,10,9,8,5,7,5,7,10,5,65,330,307,246,173,171,61,113,98,20,1523
Newcastle (C),15900,230,78,998,391,259,237,111,187,32,2527,3,3,7,8,3,6,0,19,0,51,73,153,68,58,84,36,57,40,24,591,76,130,152,103,109,67,77,133,155,999,5657,18571,7514,5686,6105,2611,1764,2283,645,50843
North Sydney (A),15950,167,60,281,131,109,80,9,33,7,880,3,4,3,3,4,0,0,0,3,18,110,181,30,22,66,41,3,8,12,474,64,101,24,23,59,40,3,9,92,419,7566,16470,1724,1649,3930,1787,205,434,548,34300
Northern Beaches (A),15990,615,217,1421,564,512,356,146,209,37,4086,6,13,13,15,9,16,4,15,0,85,258,388,85,114,177,106,53,46,49,1281,253,234,218,153,214,159,82,122,293,1730,19944,33621,11582,7937,11787,6061,1799,2900,1464,97102
Oberon (A),16100,7,0,19,12,12,7,7,8,0,74,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,17,18,0,6,4,0,4,10,15,5,69,245,246,242,128,110,58,125,100,28,1287
Orange (C),16150,95,17,240,117,75,76,51,70,5,749,0,0,0,4,0,4,0,7,0,12,24,17,13,10,19,3,7,11,4,111,28,25,46,44,36,42,39,63,38,359,1409,3577,2039,1445,1513,707,547,695,136,12059
Parkes (A),16200,27,4,63,33,24,19,15,18,0,206,0,0,0,0,3,0,0,0,0,3,8,3,5,0,6,0,9,7,0,42,20,13,19,23,8,26,26,21,15,165,638,788,641,434,395,188,301,222,65,3664
Parramatta (C),16260,307,91,944,363,372,283,184,242,45,2837,16,5,18,17,14,21,14,23,7,124,148,253,109,102,176,90,95,74,21,1072,125,197,171,94,171,102,96,121,283,1368,11037,31277,8494,6259,11684,4970,2785,3473,1387,81364
Burwood (A),11300,52,8,266,81,32,38,16,49,11,560,0,6,9,7,5,4,3,12,0,48,19,36,17,17,27,19,6,14,15,172,24,36,30,26,29,19,13,38,57,270,1515,4508,1315,1107,1659,1032,309,734,263,12438
Byron (A),11350,75,22,254,108,37,62,22,70,5,663,5,3,3,3,0,0,0,0,4,22,28,40,24,23,19,12,8,16,4,168,47,41,51,56,35,47,16,44,29,363,1469,3056,1486,1241,855,613,233,679,152,9793
Cabonne (A),11400,18,3,51,27,23,15,11,26,3,175,0,0,0,0,0,0,0,0,0,0,7,3,3,6,3,0,0,7,0,34,37,3,29,3,18,7,19,18,15,157,855,929,652,392,469,178,197,282,55,4007
Camden (A),11450,135,41,383,205,233,130,77,86,16,1307,3,3,3,4,5,3,3,3,0,25,39,36,53,34,38,16,33,17,12,281,67,42,107,56,93,65,71,58,87,641,3574,6444,4664,2848,3635,1588,1367,1124,403,25654
Campbelltown (C) (NSW),11500,193,56,657,319,269,213,191,235,28,2152,3,7,12,7,4,6,17,10,3,66,51,80,78,71,93,38,122,76,21,622,82,89,178,142,147,130,235,213,184,1387,3973,9421,7112,5335,6292,2748,3336,2914,729,41873
Canada Bay (A),11520,218,59,448,191,158,130,32,62,11,1308,4,7,5,9,0,10,0,11,3,49,94,139,21,29,80,42,7,21,25,459,73,96,71,46,69,57,25,55,107,601,6724,13640,3023,2129,4597,2343,536,946,569,34503
Canterbury-Bankstown (A),11570,451,94,1538,746,526,425,286,349,75,4497,14,17,36,28,22,21,21,60,15,229,143,220,146,139,197,86,136,116,51,1240,173,229,373,275,290,241,283,353,535,2762,9995,23615,13163,9517,12587,6469,5162,5462,1794,87765
Carrathool (A),11600,11,0,5,0,3,0,7,6,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,11,11,0,5,3,4,4,3,28,4,63,248,93,85,58,69,14,56,103,13,738
Central Coast (C) (NSW),11650,605,177,1969,950,635,612,220,497,45,5698,5,9,6,12,16,11,9,14,0,91,132,178,135,116,119,55,111,68,37,959,217,209,436,322,293,271,240,396,365,2747,11126,23469,16491,11892,11401,5844,3531,5500,1432,90690
Central Darling (A),11700,3,0,0,8,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,13,3,0,0,3,7,40,72,51,16,60,17,8,8,34,10,283
Cessnock (C),11720,107,21,398,187,84,101,106,104,10,1116,0,0,3,4,3,4,6,5,0,22,13,17,23,13,11,3,28,9,5,116,36,35,81,47,45,46,76,94,51,504,1369,2208,3129,1654,1466,811,1323,1039,201,13185
Clarence Valley (A),11730,59,16,304,125,62,66,31,75,8,737,0,0,0,4,0,0,0,6,0,14,22,22,13,17,16,11,21,17,3,134,52,30,62,57,43,69,54,98,41,496,1326,2525,1905,1717,1331,752,560,893,169,11181
Cobar (A),11750,3,0,13,8,4,3,12,0,0,50,0,0,0,0,0,0,0,0,0,4,3,4,0,3,0,0,3,0,0,9,6,4,9,4,4,3,18,13,6,62,166,224,295,117,106,41,141,72,20,1182
Coffs Harbour (C),11800,147,42,495,189,132,124,39,145,10,1328,7,3,3,3,3,0,0,11,0,27,38,32,31,19,26,11,19,20,10,208,54,48,75,70,48,66,37,90,78,560,2370,5213,3165,2557,2501,1288,704,1502,300,19609
Coolamon (A),12000,4,3,18,11,7,4,3,6,0,54,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,17,18,3,4,6,4,4,4,9,4,58,218,216,176,135,107,48,52,88,21,1063
Coonamble (A),12150,12,0,7,7,5,0,0,7,0,43,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,11,13,4,7,3,7,6,5,13,4,62,211,162,99,106,88,40,24,64,23,817
Cowra (A),12350,22,3,56,24,16,15,8,19,0,167,0,0,0,0,0,0,0,0,0,0,3,7,3,5,3,3,3,3,0,34,23,17,21,19,6,17,11,23,14,142,524,600,488,375,273,185,129,261,40,2875
Cumberland (A),12380,212,63,916,361,285,230,182,225,39,2499,10,7,32,19,17,11,25,47,7,172,68,109,95,86,112,72,96,79,28,754,99,118,302,146,176,113,168,258,399,1788,5680,14957,8164,5858,8028,3833,3258,4105,1334,55209
Dungog (A),12700,16,0,37,18,11,9,13,18,0,127,0,0,0,0,0,0,0,0,0,3,3,9,3,4,0,0,0,0,0,25,15,12,26,4,13,3,12,14,4,105,402,515,560,267,323,115,166,195,34,2562
Edward River (A),12730,10,3,48,21,14,14,4,23,0,131,0,0,0,0,0,0,0,4,0,8,4,3,3,4,6,0,0,4,0,20,15,7,10,10,13,18,16,27,17,133,416,496,356,287,246,111,119,243,42,2324
Eurobodalla (A),12750,65,16,254,97,54,77,24,76,7,672,0,0,0,0,0,0,0,0,0,4,13,15,9,8,10,4,9,12,5,89,31,27,55,35,27,42,11,51,40,322,1100,1925,1644,1180,951,601,328,637,146,8514
Fairfield (C),12850,167,49,644,472,252,215,117,198,30,2140,8,10,12,17,9,17,13,32,6,117,37,69,75,35,74,38,73,62,27,484,97,98,261,135,138,131,218,230,267,1570,3409,8655,6722,4323,5796,2485,2661,2769,902,37727
Federation (A),12870,31,3,61,32,15,17,4,37,3,202,0,0,0,0,0,0,0,0,0,10,6,6,3,4,0,0,7,5,0,32,24,13,31,17,14,9,18,26,3,157,514,515,564,346,268,146,183,319,43,2898
Forbes (A),12900,14,0,37,23,13,15,9,10,3,127,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,15,27,6,13,17,10,12,13,23,16,132,478,516,399,252,254,145,125,185,47,2402
Georges River (A),12930,216,64,807,303,239,223,95,154,16,2115,8,4,13,9,14,10,9,31,6,104,85,125,55,68,106,59,48,53,13,600,112,143,135,101,128,91,72,100,210,1103,6620,16119,5854,4497,7229,3637,1673,2544,855,49024
Gilgandra (A),12950,9,0,16,9,8,3,0,3,0,44,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,6,21,0,9,9,3,5,12,12,4,66,238,204,148,146,84,47,45,80,13,1007
Glen Innes Severn (A),13010,15,0,35,25,4,10,5,18,0,121,0,0,0,0,0,0,0,0,0,3,6,3,3,3,0,0,3,3,4,26,19,11,17,11,5,7,8,16,8,98,394,378,274,274,209,106,80,175,31,1926
Goulburn Mulwaree (A),13310,58,9,179,88,42,56,23,49,4,513,0,0,0,0,0,0,3,7,0,11,9,9,7,10,17,4,15,10,9,85,37,26,37,47,22,33,38,49,37,330,1041,1675,1378,1370,925,456,485,521,117,7961
Greater Hume Shire (A),13340,18,0,56,12,16,17,11,12,3,153,0,0,0,0,0,0,0,0,0,0,4,8,4,0,3,0,0,3,0,28,31,4,17,11,8,9,12,26,6,121,676,584,480,309,323,126,151,216,40,2911
Griffith (C),13450,41,5,150,64,47,50,13,72,0,443,0,0,0,3,6,0,0,8,0,19,19,8,6,11,11,6,6,18,11,93,36,10,29,30,33,26,32,78,42,310,969,1396,1236,718,747,397,317,769,112,6667
Gundagai (A),13510,12,0,58,17,12,13,9,38,0,164,0,0,0,0,0,0,0,0,0,4,3,4,4,6,3,0,0,10,0,38,20,0,10,12,6,15,8,27,16,117,456,528,427,346,262,134,137,281,36,2618
Gunnedah (A),13550,15,3,51,26,14,12,32,20,3,177,0,0,0,0,0,0,0,0,0,4,7,3,6,3,0,0,6,4,0,38,25,13,29,13,6,21,33,34,17,196,569,655,571,338,336,164,349,204,56,3243
Gwydir (A),13660,13,0,16,4,3,0,0,7,0,57,3,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,4,0,10,25,0,4,11,5,3,8,11,10,79,374,212,126,123,113,45,57,114,18,1175
Hawkesbury (C),13800,127,37,379,171,185,118,66,97,19,1197,3,5,5,3,3,0,0,3,0,20,35,45,46,23,41,12,30,15,12,254,56,39,112,55,78,36,66,80,102,609,2893,4301,4684,2258,2793,1123,1094,1190,338,20672
Hay (A),13850,4,0,23,3,3,0,0,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,7,5,5,4,4,3,9,46,134,114,108,83,79,31,51,49,12,674
Penrith (C),16350,309,107,978,452,583,318,247,286,44,3321,11,8,3,15,16,11,10,12,0,85,102,85,77,78,100,42,113,60,32,690,119,117,243,141,226,143,255,222,252,1713,6374,12433,10538,6772,8905,3332,3948,3345,947,56596
Port Macquarie-Hastings (A),16380,148,32,512,227,131,145,40,155,9,1410,0,4,0,0,3,7,7,0,0,20,22,43,23,27,25,9,20,12,3,181,53,39,101,73,65,73,51,85,75,608,2337,5457,3450,2682,2510,1366,727,1286,265,20071
Port Stephens (A),16400,108,35,421,230,127,124,73,106,18,1234,3,3,3,0,3,3,6,10,3,30,38,44,44,35,33,12,27,13,12,251,57,46,112,64,51,50,50,92,56,574,2183,3736,3995,2355,2189,1036,1012,1155,270,17930
Queanbeyan-Palerang Regional (A),16490,106,40,333,117,194,88,41,72,16,1003,4,4,0,3,3,3,0,0,0,20,82,67,19,37,63,11,15,19,19,333,68,59,76,48,93,31,33,60,70,532,3651,5228,2929,1970,3217,905,569,792,413,19668
Randwick (C),16550,253,66,624,300,233,132,33,119,16,1780,6,3,12,8,11,9,6,8,5,62,147,244,68,86,93,43,40,34,27,787,104,149,88,101,96,82,55,70,172,914,8815,21856,5022,4177,6282,3052,963,1611,827,52600
Richmond Valley (A),16610,37,4,136,55,18,29,8,75,3,366,3,0,0,0,0,0,4,7,0,9,9,3,11,4,4,3,3,9,4,57,20,16,27,36,15,17,30,57,30,245,548,904,833,696,535,274,280,580,82,4729
Rockdale (C),16650,212,52,754,297,192,168,81,149,23,1936,5,5,13,10,7,3,11,25,8,86,65,91,56,56,85,46,48,52,19,524,88,96,123,82,104,72,73,128,189,957,4688,10880,4629,3614,5178,2844,1586,2628,671,36708
Ryde (C),16700,194,50,652,236,179,157,45,96,21,1638,4,7,3,4,10,5,3,7,0,40,89,152,46,40,107,45,33,27,21,551,63,110,84,68,99,57,31,62,179,759,6784,17713,4472,3150,6304,2775,895,1442,708,44248
Shellharbour (C),16900,104,29,467,191,109,117,71,108,18,1220,3,3,0,0,0,0,4,5,4,15,19,16,33,17,31,7,31,21,16,179,36,39,131,56,53,54,51,105,67,598,1896,3837,4164,2833,2432,1165,1220,1250,296,19092
Shoalhaven (C),16950,185,32,578,285,137,141,64,162,11,1599,5,3,3,3,9,3,3,3,0,32,42,58,36,41,37,21,17,26,4,289,95,59,134,102,61,103,62,126,100,843,3022,5714,4992,3554,2657,1503,907,1697,378,24425
Singleton (A),17000,30,12,102,70,32,36,63,42,4,390,3,3,0,0,0,0,0,0,0,10,6,5,15,22,4,0,27,3,0,90,27,10,38,17,18,19,39,33,23,217,835,1219,1573,700,727,309,939,363,116,6774
