lga_name_2016,lga_code_2016,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total
Whitehorse (C),26980,257,62,717,317,202,190,57,149,11,1963,15,4,14,11,10,4,0,14,3,72,165,235,61,84,156,76,16,44,31,889,99,143,113,84,93,83,41,80,154,884,8439,22046,5750,4895,7079,3532,1063,2084,757,55639
Whittlesea (C),27070,357,89,1322,569,484,447,275,334,38,3905,3,3,10,8,14,14,22,27,7,110,104,117,121,129,139,82,142,98,29,965,126,120,331,231,218,210,220,261,240,1947,5840,13029,10179,7511,7444,4148,3434,3740,913,56235
Wodonga (C),27170,67,20,266,127,75,86,55,89,3,791,0,3,3,0,3,0,5,5,0,18,27,17,19,26,24,9,17,10,0,156,27,14,57,50,35,36,45,56,59,382,1319,2728,2234,1765,1420,753,639,755,181,11794
Wyndham (C),27260,403,130,1225,590,437,412,418,380,40,4022,12,5,10,18,8,8,14,27,3,107,105,176,121,193,163,87,178,98,36,1158,123,124,247,171,193,139,287,200,291,1778,7758,16736,9753,8268,9319,4496,4946,4111,1119,66508
Yarra (C),27350,192,56,540,255,137,128,15,49,8,1372,7,4,3,7,3,3,0,3,3,29,191,382,39,103,133,64,8,22,40,981,62,141,47,69,61,42,18,34,102,570,7108,20392,2798,3011,4013,2225,370,827,594,41343
Yarra Ranges (S),27450,299,76,904,413,345,307,92,227,22,2689,4,8,8,9,0,3,0,10,0,54,132,136,85,110,112,40,47,36,21,713,151,104,274,154,120,100,118,158,193,1376,6739,11973,10531,6073,5564,2735,1802,2859,724,48992
Yarriambiack (S),27630,16,0,18,14,5,3,0,11,0,77,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,9,23,3,12,11,0,4,4,6,7,71,388,324,210,252,117,53,63,110,22,1536
Unincorporated Vic,29399,4,0,9,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,3,12,63,36,35,37,13,15,19,32,9,270
No usual address (Vic.),29499,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
Aurukun (S),30250,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,4,3,0,23,16,28,25,32,12,3,4,15,4,142
Balonne (S),30300,11,0,17,16,9,3,4,12,0,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,14,7,0,9,3,0,13,5,10,10,56,280,231,153,122,106,65,50,113,15,1143
Banana (S),30370,29,5,72,33,28,27,25,40,0,259,0,0,0,0,0,3,0,3,0,11,8,0,4,0,0,0,7,3,3,33,34,4,20,12,11,8,30,42,18,179,629,655,916,294,346,130,369,345,54,3740
Barcaldine (R),30410,4,0,4,8,3,0,6,6,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,0,6,3,3,3,0,6,3,35,151,145,101,89,72,23,39,81,12,717
Barcoo (S),30450,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,13,12,11,3,11,0,5,6,0,71
Blackall-Tambo (R),30760,3,0,9,0,5,3,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,0,4,3,3,7,0,36,120,76,61,63,48,27,22,46,9,476
Longreach (R),34710,13,0,23,18,12,3,3,10,0,81,0,0,0,0,0,0,0,0,0,8,3,0,0,3,3,0,0,0,0,15,17,5,9,9,4,7,0,11,12,65,224,276,173,133,124,51,39,84,17,1120
Mackay (R),34770,187,60,622,253,198,209,199,200,18,1953,3,7,5,0,0,9,3,18,0,49,36,57,60,28,49,11,71,32,12,360,99,49,227,81,63,93,176,169,143,1104,3432,6919,8655,3086,3114,1521,2956,2023,487,32196
McKinlay (S),34800,3,0,3,3,3,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,3,11,74,33,43,20,16,6,21,30,3,252
Mapoon (S),34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,8,9,10,4,3,3,0,58
Maranoa (R),34860,28,3,74,23,21,18,14,34,4,222,0,0,3,0,0,0,0,3,0,4,3,9,3,11,9,3,5,7,3,54,24,9,20,34,12,6,24,25,8,166,708,731,643,378,404,187,246,313,48,3650
Mareeba (S),34880,51,4,96,52,24,36,20,32,4,323,0,0,0,0,0,0,0,4,0,6,9,9,9,14,7,3,3,10,0,63,36,16,25,34,19,15,22,48,23,236,733,996,888,711,508,252,245,470,67,4875
Moreton Bay (R),35010,779,226,2365,1199,930,800,352,800,70,7529,11,16,7,15,29,34,19,51,6,182,204,238,200,211,229,84,181,139,82,1564,239,240,569,335,352,310,359,504,489,3397,14164,28092,22615,16230,15888,7578,5663,8075,1784,120088
Mornington (S),35250,0,0,3,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,3,8,4,3,3,3,0,37,17,45,22,44,20,4,7,9,4,176
Mount Isa (C),35300,28,9,98,32,28,27,43,23,0,285,0,0,0,0,3,3,0,3,0,8,5,10,16,14,7,3,13,0,4,76,7,6,50,22,16,12,28,18,29,188,452,1285,1644,556,457,223,599,266,93,5579
Murweh (S),35600,14,3,20,6,11,9,3,17,0,77,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,7,0,16,9,0,12,7,5,6,3,13,4,56,205,243,161,125,98,36,44,129,17,1064
Napranum (S),35670,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,11,23,11,5,0,10,8,0,74
Noosa (S),35740,183,44,496,210,111,108,45,104,6,1304,0,0,4,0,0,3,0,0,0,8,12,25,24,23,22,10,11,13,3,145,40,28,74,42,35,48,23,49,49,386,2079,3806,2638,1932,1485,1077,484,974,221,14699
North Burnett (R),35760,40,3,40,19,13,21,14,27,0,172,0,0,0,0,0,0,0,0,3,11,9,0,3,3,4,4,3,3,3,29,34,5,4,9,12,8,12,43,16,138,461,342,281,269,185,105,147,345,29,2170
Northern Peninsula Area (R),35780,4,0,4,6,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,12,3,10,4,3,13,10,0,52,63,105,72,106,74,25,44,47,7,536
Palm Island (S),35790,4,0,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,3,21,20,70,26,88,33,4,8,15,8,271
Paroo (S),35800,3,0,6,6,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,0,3,4,0,4,5,0,23,112,72,47,47,30,17,19,34,3,380
Pormpuraaw (S),36070,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,15,15,22,13,22,8,4,9,6,3,105
Quilpie (S),36150,0,0,5,4,0,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,10,53,32,40,23,24,5,14,25,4,216
Redland (C),36250,303,87,840,415,391,324,108,284,26,2789,3,12,5,11,7,9,0,11,0,58,94,105,77,57,72,31,39,30,20,527,104,85,190,92,123,98,87,137,167,1084,6160,10872,8733,5382,6092,2798,1789,2731,621,45175
Richmond (S),36300,0,0,4,3,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,45,34,32,19,26,10,11,32,3,214
Rockhampton (R),36370,118,28,420,193,132,144,97,143,16,1288,0,3,14,10,4,0,3,12,3,53,27,37,39,33,46,3,45,18,5,254,45,34,106,85,48,49,70,123,69,624,1868,5006,4447,2744,2258,981,1240,1280,241,20064
Scenic Rim (R),36510,92,12,233,111,65,55,40,74,7,692,4,0,3,4,5,0,0,6,3,24,17,22,22,15,14,5,19,15,3,134,42,37,83,42,45,40,34,73,33,434,1508,2228,2030,1265,1144,546,540,894,144,10291
Somerset (R),36580,40,6,101,51,35,33,24,67,4,351,0,0,3,3,0,0,0,8,0,12,4,10,8,6,6,4,9,10,4,59,30,19,42,24,24,19,41,67,23,283,663,945,1048,751,536,282,382,631,89,5331
South Burnett (R),36630,59,7,121,68,39,46,25,71,0,440,0,3,0,0,0,0,3,4,0,8,9,6,3,11,11,6,9,8,0,64,37,11,43,30,19,21,43,73,39,314,901,1411,1221,1015,640,361,463,705,97,6807
Southern Downs (R),36660,71,10,198,84,39,58,35,95,8,597,5,0,0,3,0,0,3,0,3,12,14,12,9,6,13,3,15,13,0,91,47,11,50,39,29,33,34,83,44,372,1170,1595,1374,1016,752,451,494,865,114,7834
Sunshine Coast (R),36720,694,150,2184,995,646,741,220,554,42,6223,16,7,11,9,18,37,9,25,3,131,121,165,145,129,122,74,86,83,37,955,181,159,364,222,168,233,145,287,294,2060,10521,22811,16420,11032,9821,6156,3035,5596,1178,86574
Tablelands (R),36820,56,3,115,50,47,42,21,47,7,387,0,3,0,0,0,0,0,4,0,8,8,14,10,12,7,4,7,5,0,74,46,24,31,35,14,24,23,44,24,267,903,1383,1052,809,610,333,303,504,80,5983
Toowoomba (R),36910,301,73,920,445,329,289,117,317,21,2820,6,8,8,13,8,9,3,25,3,81,79,85,50,72,69,28,66,48,17,512,139,80,181,149,121,114,108,223,129,1246,5519,12358,8286,5534,5338,2435,2046,3251,489,45253
Torres (S),36950,7,0,7,8,5,3,0,8,0,37,0,0,0,0,0,0,0,0,0,3,3,0,0,4,4,0,0,0,0,13,7,11,9,19,16,3,7,16,15,97,121,274,130,164,133,27,23,60,34,962
Torres Strait Island (R),36960,0,0,0,7,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,17,3,10,7,11,8,6,0,19,6,74,59,165,89,119,103,36,12,88,26,694
Townsville (C),37010,348,80,1132,650,353,320,172,308,26,3382,4,8,11,9,4,19,4,13,3,83,129,141,82,142,98,34,96,57,32,808,90,110,187,158,125,105,138,191,190,1290,5752,15044,10423,7769,6166,2741,2762,3009,682,54344
Bulloo (S),31750,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,9,26,9,25,4,23,3,12,15,3,125
Bundaberg (R),31820,142,28,469,224,105,125,74,186,13,1371,0,4,4,4,3,8,0,6,0,25,27,22,35,25,20,12,34,37,8,221,63,34,75,68,59,65,74,123,92,653,2250,4725,3724,2810,1978,1160,1128,1869,281,19921
Burdekin (S),31900,28,5,85,34,20,25,22,43,3,262,0,0,0,0,0,0,4,3,0,14,12,3,3,4,4,0,10,4,0,38,21,13,18,8,9,17,25,35,17,174,622,747,888,447,353,170,379,421,58,4084
Burke (S),31950,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,15,21,11,14,4,13,0,4,7,3,82
Boulia (S),30900,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,6,21,11,10,9,6,0,6,30,0,96
Brisbane (C),31000,2105,649,5960,2966,2262,1741,739,1475,170,18063,49,55,55,98,102,98,49,121,13,639,840,1360,513,587,841,361,343,385,195,5416,676,894,858,699,825,553,478,789,1222,6999,58388,157776,46996,37947,51408,23155,10902,18682,5694,410947
Cairns (R),32080,418,86,1234,623,388,400,187,376,43,3761,10,14,9,9,6,6,3,8,0,71,78,110,79,94,74,31,45,53,16,580,116,112,218,183,118,153,123,212,205,1441,5506,12768,8718,6715,5536,3135,1962,2944,761,48050
Carpentaria (S),32250,3,0,6,3,5,3,3,5,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,6,4,4,3,0,4,0,3,22,63,87,69,69,45,8,18,54,12,430
Cassowary Coast (R),32260,57,3,153,53,25,43,31,95,0,466,3,0,0,0,0,0,0,6,0,22,10,14,0,9,9,3,5,30,3,87,48,21,43,33,24,28,35,104,33,353,983,1211,1312,789,619,375,475,883,99,6747
Central Highlands (R) (Qld),32270,53,4,126,57,59,38,77,42,3,457,4,0,0,0,0,0,0,3,0,11,15,5,21,7,11,0,23,7,3,101,33,14,48,22,24,30,67,62,17,322,1051,1378,1923,582,728,307,1029,547,88,7642
Charters Towers (R),32310,18,7,45,25,8,6,15,15,0,135,0,0,0,0,0,0,0,0,0,4,0,3,4,3,3,0,4,3,0,25,15,7,14,21,5,11,10,18,7,114,330,575,484,314,201,114,168,192,20,2396
Cherbourg (S),32330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,12,8,26,6,0,0,10,0,61
Cloncurry (S),32450,7,0,10,11,8,6,13,4,0,55,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,3,0,13,3,0,3,3,4,0,9,7,3,39,97,191,185,70,82,23,122,72,3,847
Cook (S),32500,8,3,21,11,4,5,3,13,0,75,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,3,6,0,17,11,13,11,3,10,4,10,13,7,83,162,274,176,134,107,45,67,140,21,1128
Croydon (S),32600,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,11,4,3,0,9,12,3,52
Gold Coast (C),33430,1528,444,4368,2305,1531,1560,441,1219,148,13547,24,25,36,45,39,41,27,56,15,299,281,331,267,223,238,157,170,152,77,1902,419,353,700,479,437,508,339,587,686,4514,22407,43013,29679,21573,20071,13988,5871,11085,2692,170374
Goondiwindi (R),33610,23,0,54,26,14,13,9,25,0,156,0,0,0,0,0,0,0,0,0,6,10,9,3,3,3,0,0,5,3,28,18,3,18,11,3,6,11,36,11,114,541,523,453,306,264,124,156,257,24,2653
Gympie (R),33620,77,13,274,109,54,87,36,128,3,787,0,3,0,3,0,3,0,0,0,16,13,15,18,17,16,7,11,17,3,125,49,18,57,28,21,44,37,83,48,389,1257,1996,2126,1455,1080,683,640,1018,158,10417
Weipa (T),37300,3,0,16,5,5,3,21,3,3,61,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,4,0,0,14,0,3,16,7,0,0,14,3,0,51,114,283,459,108,109,30,275,51,12,1442
Western Downs (R),37310,65,13,179,55,57,51,33,60,4,511,3,0,5,0,0,0,0,3,0,14,17,10,17,6,14,8,18,14,4,102,59,20,47,22,31,36,51,84,38,392,1404,1517,1790,808,842,390,632,724,127,8235
Whitsunday (R),37340,136,25,363,161,75,62,57,119,8,1009,3,0,0,3,0,4,0,16,0,31,19,15,8,12,14,4,23,13,3,111,39,28,60,31,22,46,49,116,45,435,1290,1598,2166,1190,841,523,748,1017,135,9511
Hinchinbrook (S),33800,16,6,58,16,25,15,20,21,0,179,0,0,0,0,0,0,0,0,0,0,4,5,3,3,0,4,3,0,0,21,21,12,15,15,8,10,12,29,10,128,320,508,580,326,210,104,250,217,34,2545
Hope Vale (S),33830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,11,13,21,19,26,18,3,23,19,8,151
Ipswich (C),33960,347,84,1004,536,391,378,193,315,28,3274,7,12,5,15,13,25,10,24,8,123,73,115,100,102,90,37,134,65,32,756,91,78,233,192,164,110,220,306,262,1651,5122,11060,9896,7625,6734,3054,3267,3813,874,51446
Isaac (R),33980,27,10,127,30,49,20,79,40,0,381,0,0,0,0,0,0,0,3,0,11,6,6,6,6,0,0,21,0,3,57,20,11,58,14,15,15,69,33,16,252,695,994,1717,365,463,159,1014,395,71,5874
Kowanyama (S),34420,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,11,14,23,21,32,11,5,7,10,4,125
Livingstone (S),34530,51,16,226,87,68,65,45,64,6,628,3,0,0,4,0,0,0,0,0,12,14,16,14,6,10,4,21,10,0,88,33,19,50,24,26,33,54,49,35,322,1123,2221,2240,1133,961,443,686,511,123,9442
Lockhart River (S),34570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,3,0,3,7,6,34,9,29,10,17,8,0,5,13,7,101
Lockyer Valley (R),34580,61,7,201,95,47,52,52,107,3,623,7,0,0,0,0,4,0,8,0,25,20,12,15,15,11,3,32,22,0,136,42,17,62,40,35,33,53,79,42,412,1033,1671,1792,1173,922,479,610,1069,126,8874
Logan (C),34590,446,143,1438,732,621,583,351,567,44,4927,6,11,22,17,25,14,16,26,7,151,122,151,156,132,135,44,194,123,52,1105,175,139,445,259,263,196,387,441,428,2732,7887,15471,15919,10234,10485,5005,5589,6499,1246,78344
Southern Mallee (DC),47290,7,0,10,3,0,3,0,3,0,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,9,4,25,151,73,63,45,29,32,36,61,9,487
Streaky Bay (DC),47490,10,0,15,3,0,3,0,3,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,10,9,3,3,0,0,6,3,5,4,29,110,104,87,50,49,37,17,60,9,528
Tatiara (DC),47630,21,0,29,7,10,14,3,22,0,107,0,0,0,3,0,0,0,3,0,9,7,3,3,0,3,0,0,5,0,18,21,5,13,3,7,10,4,25,12,94,424,295,287,143,177,117,95,236,27,1790
Tea Tree Gully (C),47700,150,48,600,226,223,207,65,154,10,1682,0,4,6,5,12,3,0,10,3,38,30,67,38,52,44,23,29,29,8,319,51,32,133,84,75,54,51,78,94,652,3417,8207,5622,4122,4174,1797,1040,1610,386,30378
The Coorong (DC),47800,10,0,20,6,9,6,3,20,0,72,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,7,15,0,3,9,0,8,4,16,3,60,298,160,140,146,105,65,69,154,10,1150
Tumby Bay (DC),47910,4,0,28,3,3,6,0,3,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,4,0,0,4,3,23,136,123,99,59,50,26,36,46,5,584
Diamantina (S),32750,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,13,6,17,16,18,0,3,13,0,86
Clare and Gilbert Valleys (DC),41140,17,0,56,13,18,18,5,35,0,166,0,0,0,0,0,0,0,0,0,3,3,0,8,0,3,0,0,3,0,21,10,11,18,0,12,7,14,12,9,89,464,571,410,270,275,145,106,249,26,2514
Campbelltown (C) (SA),40910,80,19,371,110,86,88,25,64,6,845,0,0,0,0,3,0,0,3,0,10,36,52,22,33,36,21,21,17,10,245,43,27,52,35,48,31,30,32,42,339,1892,5346,2215,1738,1954,956,429,823,220,15566
Ceduna (DC),41010,4,5,18,11,4,3,10,6,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,10,3,12,4,0,0,9,0,57,130,181,112,147,72,34,36,63,18,796
Charles Sturt (C),41060,224,55,745,322,219,208,71,160,18,2026,6,9,5,6,7,0,8,9,8,53,69,98,42,71,75,37,42,28,14,464,78,88,123,103,104,95,67,113,97,879,4329,10402,5177,4085,4376,1984,1186,1848,468,33854
Doomadgee (S),32770,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,10,35,6,33,11,3,0,8,5,116
Douglas (S),32810,74,4,188,89,30,40,5,44,3,476,0,0,0,0,0,0,0,0,0,7,3,5,6,9,8,0,0,3,0,31,18,10,27,18,8,13,4,31,22,155,560,594,704,536,319,255,137,382,53,3536
Etheridge (S),33100,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,3,0,10,42,26,11,15,24,0,12,24,0,154
Flinders (S) (Qld),33200,3,0,9,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,8,0,3,0,0,0,6,10,0,30,85,47,52,24,34,9,25,50,3,341
Fraser Coast (R),33220,165,45,547,270,126,171,55,190,9,1580,0,3,6,5,3,0,0,4,4,24,30,43,34,37,17,11,30,32,9,232,48,44,98,92,57,71,69,120,84,680,1952,4802,3762,3511,2110,1335,945,1619,247,20272
Gladstone (R),33360,80,15,287,121,93,97,107,104,5,913,7,4,3,0,0,3,9,7,0,33,21,28,33,28,19,10,60,24,4,221,43,29,120,46,33,36,86,84,69,549,1670,3401,4840,1637,1563,727,1539,1319,263,16965
Winton (S),37400,9,0,13,0,3,0,3,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,13,79,39,52,35,19,8,17,24,5,279
Coober Pedy (DC),41330,6,0,11,3,3,3,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,4,0,0,3,0,7,23,57,75,49,80,53,23,22,29,17,405
Copper Coast (DC),41560,28,10,87,25,16,13,9,40,0,224,0,0,0,0,0,0,0,0,0,4,4,12,5,3,0,0,3,3,0,32,10,4,20,17,15,24,18,21,11,143,297,599,544,476,246,184,146,254,56,2794
Elliston (DC),41750,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,3,18,73,40,25,25,26,3,5,26,6,242
Woorabinda (S),37550,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,6,0,23,16,15,6,25,11,5,0,6,4,102
Karoonda East Murray (DC),43080,3,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,10,0,6,0,0,0,0,0,0,14,69,43,26,31,14,6,9,26,0,223
Bayswater (C),50420,140,30,501,192,152,116,68,122,18,1328,6,3,9,8,0,8,3,11,4,45,36,72,18,43,45,10,19,21,10,284,41,56,83,54,49,36,49,49,74,489,2719,7182,3758,2434,2678,1321,888,1267,334,22583
Belmont (C),50490,72,24,305,135,92,70,64,87,5,843,3,3,6,0,3,0,4,0,0,17,9,24,23,20,22,10,19,23,12,161,25,16,51,50,40,14,35,48,43,317,1314,3228,2403,1469,1462,697,693,865,189,12320
Beverley (S),50560,3,0,3,0,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,8,0,0,5,0,0,3,3,0,17,83,56,76,39,39,13,29,29,0,363
Boddington (S),50630,0,0,9,0,7,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,8,3,0,8,0,0,3,9,4,3,30,66,89,128,37,43,9,86,17,10,492
Boyup Brook (S),50770,3,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,3,0,13,123,63,55,33,38,19,24,41,4,389
Bridgetown-Greenbushes (S),50840,3,0,22,14,6,7,4,7,0,64,0,0,0,0,0,0,0,0,0,3,4,3,0,5,3,0,0,0,0,10,10,0,13,8,3,6,10,7,4,63,170,252,273,145,95,69,97,105,13,1214
Brookton (S),50910,3,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,52,33,22,23,18,7,6,17,11,184
Broome (S),50980,57,13,106,73,51,30,11,25,5,371,0,0,0,0,3,0,0,0,0,5,3,22,6,10,8,0,4,5,0,66,18,13,35,29,22,11,16,29,28,217,697,1390,835,719,618,286,173,314,93,5133
Wujal Wujal (S),37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,3,11,5,0,4,4,0,35
Yarrabah (S),37600,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,7,6,0,0,3,3,25,19,50,30,61,31,3,3,20,9,228
No usual address (Qld),39499,10,4,46,22,16,11,3,34,0,143,0,0,0,0,0,0,0,3,0,4,3,6,7,3,0,0,4,0,3,31,4,11,11,9,0,7,7,19,21,81,163,407,308,245,129,83,129,441,58,1957
Migratory - Offshore - Shipping (Qld),39799,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,4,3,0,4,0,33
Murray Bridge (RC),45040,31,8,99,42,27,26,15,51,5,309,0,0,0,0,0,0,0,7,0,11,3,3,3,4,3,3,14,17,0,49,23,5,33,28,20,18,24,85,17,251,481,682,793,764,469,306,258,744,75,4569
Canning (C),51330,146,32,525,223,153,134,100,149,10,1473,4,0,12,11,3,8,3,24,0,62,29,63,57,45,51,25,43,41,14,371,44,45,84,60,63,49,56,81,108,582,3175,9466,4450,3208,3391,1758,1362,2024,454,29288
Capel (S),51400,20,12,77,30,30,26,12,31,3,241,0,0,0,0,3,0,0,0,0,4,3,17,13,7,4,5,8,3,4,63,20,10,20,22,13,13,18,27,16,161,549,1374,1150,609,566,270,318,377,75,5294
