lga_name_2016,lga_code_2016,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total
Carnamah (S),51470,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,34,26,24,5,18,3,8,19,0,139
Carnarvon (S),51540,11,3,23,10,18,8,6,18,0,93,0,0,0,0,0,0,0,5,0,7,4,0,0,5,7,0,0,4,0,14,3,7,8,4,9,7,6,17,12,74,207,272,238,156,152,60,58,149,32,1321
Adelaide (C),40070,44,13,146,69,20,15,0,21,0,346,0,0,0,3,0,5,0,3,0,14,26,37,6,15,16,10,5,0,4,108,14,27,17,5,13,17,0,13,15,117,1078,3291,522,675,768,403,75,259,94,7164
Adelaide Hills (DC),40120,89,18,182,66,63,49,13,57,0,528,3,3,0,0,0,0,0,0,0,9,32,54,15,29,31,12,19,8,6,203,41,35,50,25,37,25,12,37,25,286,2297,5258,1923,1364,1470,593,321,577,157,13961
Alexandrina (DC),40220,65,13,157,60,37,53,11,42,11,441,0,0,0,3,3,3,0,0,0,9,10,14,13,11,5,3,11,6,0,71,34,23,28,35,26,30,21,33,21,241,890,1384,1192,955,712,395,303,475,87,6389
Anangu Pitjantjatjara (AC),40250,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,18,0,0,0,3,4,42,45,117,13,70,11,5,8,19,5,295
Barossa (DC),40310,64,13,164,59,34,46,9,82,3,468,3,0,3,3,0,0,0,4,0,12,15,19,12,9,11,3,8,12,3,90,32,17,54,23,18,18,23,75,13,280,1089,1582,1278,791,752,380,300,769,71,7009
Barunga West (DC),40430,0,3,13,3,0,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,3,4,13,0,24,99,102,68,60,33,13,38,42,7,464
Berri and Barmera (DC),40520,12,6,65,32,16,22,4,34,0,189,0,0,0,0,0,0,0,3,0,9,3,0,4,0,0,3,3,3,0,17,14,15,9,19,13,6,16,26,5,121,310,553,413,362,228,133,121,265,31,2420
Robe (DC),46860,4,0,17,7,7,3,0,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,6,3,15,116,58,70,38,29,29,10,64,11,416
Roxby Downs (M),46970,0,0,24,5,9,10,11,17,3,82,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,8,0,4,14,0,4,11,3,3,0,8,4,5,45,101,273,481,80,109,39,209,77,39,1412
Burnside (C),40700,75,10,161,63,51,46,4,26,4,441,0,0,0,0,0,3,0,0,0,4,41,54,4,21,18,16,0,6,10,173,20,46,25,19,27,14,3,6,28,195,2694,7502,1008,1086,1633,786,147,380,192,15434
Cleve (DC),41190,5,0,11,0,4,0,3,0,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,13,0,0,3,0,0,0,4,0,25,132,71,79,50,43,12,22,46,6,454
Salisbury (C),47140,208,39,775,304,216,248,108,273,19,2186,3,0,11,8,7,3,10,14,3,52,36,48,46,65,54,32,69,55,21,427,62,47,160,105,105,92,125,193,123,1001,2867,6671,6211,5510,4091,2157,2037,2916,561,33017
Flinders Ranges (DC),41830,5,0,12,4,3,0,0,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,3,0,3,3,3,23,55,108,66,69,26,10,32,34,3,417
Franklin Harbour (DC),41960,3,0,7,4,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,4,0,0,5,0,0,5,0,0,13,70,43,48,46,28,9,21,24,3,287
Gawler (T),42030,37,11,137,65,36,44,24,44,4,405,0,0,0,0,0,0,0,3,0,8,9,7,11,11,7,5,5,13,5,69,6,13,19,15,16,17,14,29,20,156,637,1341,1136,971,705,375,272,435,89,5968
Goyder (DC),42110,8,0,19,10,6,0,3,6,3,45,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,5,0,9,12,4,4,6,11,4,4,9,9,51,219,141,146,103,79,34,55,113,13,895
Grant (DC),42250,20,0,36,24,9,12,5,17,0,131,0,0,0,0,0,0,0,0,0,5,3,3,0,3,3,3,5,6,0,25,13,6,9,13,12,10,14,18,8,90,382,428,429,241,234,98,132,201,28,2177
Holdfast Bay (C),42600,84,12,184,93,69,59,6,37,5,554,0,0,3,0,0,0,0,0,0,4,20,31,12,11,23,16,6,8,3,134,26,33,29,26,26,24,3,13,30,211,1910,4372,1399,1389,1467,701,197,416,142,11991
Kangaroo Island (DC),42750,13,0,30,23,3,15,4,12,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,10,0,7,12,3,3,3,10,3,57,281,229,179,176,110,77,37,137,14,1253
Kimba (DC),43220,4,0,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,11,86,32,31,24,26,23,14,19,3,261
Kingston (DC) (SA),43360,3,0,22,0,0,4,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,3,0,6,3,7,0,33,139,89,88,67,40,49,18,86,3,581
Light (RegC),43650,29,7,103,27,27,18,14,30,0,258,3,0,0,0,0,0,0,0,0,7,11,4,5,6,8,0,4,7,4,55,23,10,25,15,13,10,13,15,15,140,677,908,862,601,490,226,205,366,63,4402
Lower Eyre Peninsula (DC),43710,9,4,29,10,11,4,3,10,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,14,3,9,9,6,3,3,12,8,57,254,304,263,175,170,69,73,134,22,1454
Loxton Waikerie (DC),43790,34,0,75,24,12,14,9,30,0,200,0,0,3,0,3,0,0,3,0,9,3,0,6,0,3,0,3,0,0,17,26,3,12,8,9,11,14,28,17,124,484,536,438,387,283,143,121,287,39,2723
Mallala (DC),43920,9,3,24,21,10,10,6,16,3,105,0,0,0,0,0,0,3,0,0,7,9,0,3,0,3,0,11,3,0,30,10,3,19,10,6,6,18,17,8,97,276,294,492,307,227,111,174,209,38,2128
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6
Marion (C),44060,167,40,590,251,182,170,38,133,14,1589,3,3,3,8,3,3,0,8,0,32,45,89,35,64,62,22,23,10,11,366,38,52,108,69,77,60,28,93,99,616,3100,8718,4519,3999,3584,1762,785,1492,368,28329
Mid Murray (DC),44210,17,0,54,17,6,7,10,10,0,124,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,15,12,4,14,4,10,6,15,18,9,101,292,248,363,224,143,94,120,241,26,1757
Mitcham (C),44340,112,41,270,111,91,72,8,63,3,770,0,3,0,0,8,4,0,4,0,20,50,74,26,37,55,24,10,12,6,288,43,55,36,44,35,32,26,29,36,343,3362,9878,2416,2249,2581,1095,319,792,243,22927
Mount Barker (DC),44550,76,15,285,81,64,67,27,55,4,677,0,0,3,0,0,0,0,7,0,16,24,20,13,13,12,10,6,4,4,108,43,27,54,46,32,35,38,47,22,352,1450,2959,1937,1397,1253,687,382,653,118,10845
Mount Gambier (C),44620,50,13,173,82,41,61,22,61,9,510,0,0,0,3,0,0,0,3,0,7,7,11,7,8,3,5,9,8,3,60,17,5,22,32,14,11,30,43,21,196,676,1523,1296,1038,666,467,377,500,75,6622
Mount Remarkable (DC),44830,3,0,10,4,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,3,3,3,3,3,3,3,0,30,179,157,94,86,65,11,39,55,4,676
Naracoorte and Lucindale (DC),45090,15,0,41,6,9,20,3,39,7,137,0,3,3,0,0,0,0,5,0,14,4,0,3,0,3,3,0,3,0,18,19,8,9,7,4,16,8,31,8,105,481,406,362,216,221,157,91,323,27,2285
Northern Areas (DC),45120,3,0,24,0,0,4,5,3,0,45,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,13,3,9,0,3,0,7,7,3,43,252,259,189,131,93,50,60,93,9,1138
Norwood Payneham St Peters (C),45290,81,11,207,73,48,46,6,52,3,530,4,0,4,0,0,0,0,0,0,9,34,63,11,27,21,8,0,9,9,190,25,38,13,21,26,17,3,20,37,194,1840,5705,1165,1151,1457,624,176,484,175,12775
Onkaparinga (C),45340,314,79,1182,424,309,380,116,281,29,3114,3,11,3,11,7,14,3,19,5,64,64,93,85,79,107,21,65,54,22,588,90,71,216,164,120,139,96,166,162,1225,5116,10902,9489,7496,5971,3134,1847,3032,635,47633
Orroroo/Carrieton (DC),45400,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,6,58,50,31,36,18,10,7,15,3,225
Peterborough (DC),45540,7,0,0,0,0,0,3,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,16,46,38,26,46,22,9,11,33,9,235
Playford (C),45680,103,26,433,165,127,137,62,177,15,1237,7,4,0,4,0,3,5,4,3,35,33,29,25,37,17,13,41,33,10,232,51,38,98,92,59,66,88,122,94,711,1592,2846,3579,3270,2052,1266,1146,1655,310,17720
Port Adelaide Enfield (C),45890,169,55,784,314,187,176,86,205,19,1990,3,4,7,9,8,9,7,19,3,63,56,72,61,87,68,33,44,73,20,513,67,74,108,107,76,71,95,133,136,863,3601,9974,5266,4759,4100,2022,1518,2583,503,34326
Port Augusta (C),46090,14,4,56,30,13,15,4,11,3,150,0,3,0,0,0,0,0,0,0,4,9,3,5,5,3,0,6,3,0,35,5,12,21,29,7,8,14,18,19,137,273,719,552,587,307,129,230,202,60,3059
Port Lincoln (C),46300,25,3,96,41,15,37,7,36,0,266,0,0,0,0,0,4,0,0,0,5,4,12,3,5,4,4,3,0,3,33,11,10,19,13,16,17,13,25,17,134,390,878,714,523,375,225,146,317,48,3627
Port Pirie City and Dists (M),46450,18,0,73,34,22,25,23,18,3,217,0,0,0,0,0,0,0,0,0,3,4,0,3,7,3,3,9,3,3,32,22,8,29,16,6,18,20,25,10,159,385,840,716,655,326,202,269,257,58,3697
Prospect (C),46510,42,7,106,37,36,29,8,25,0,294,0,3,0,0,0,3,0,0,0,8,34,23,10,8,19,11,3,8,0,115,14,16,21,11,10,12,7,14,15,115,1141,3047,846,682,872,413,196,350,96,7650
Renmark Paringa (DC),46670,22,4,45,22,11,12,3,29,3,158,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,6,3,0,17,19,12,18,4,6,13,6,20,13,110,342,419,360,276,194,126,115,269,37,2143
Unley (C),47980,81,28,210,73,53,39,9,21,7,528,4,0,3,3,0,0,0,0,0,11,20,57,17,24,30,13,7,0,3,168,22,32,20,16,21,21,6,13,27,169,2324,6738,1077,1139,1473,728,132,396,175,14182
Victor Harbor (C),48050,22,6,81,31,12,18,4,26,0,208,0,0,0,0,0,0,0,3,0,10,5,3,7,6,4,3,0,5,0,37,14,3,16,14,7,11,0,15,8,93,362,671,494,519,278,193,103,233,35,2888
Wakefield (DC),48130,15,4,28,8,7,4,6,16,0,88,0,0,0,0,0,0,0,7,0,7,3,0,0,3,0,0,0,7,3,16,15,3,8,4,4,0,17,19,3,65,300,230,213,191,131,64,118,199,16,1465
Coolgardie (S),51960,4,3,10,3,6,3,16,5,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,9,0,0,14,6,6,0,18,4,0,47,40,112,252,68,69,22,142,54,9,767
Coorow (S),52030,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,3,0,0,0,0,0,0,13,68,26,38,10,25,3,20,31,0,220
Chapman Valley (S),51610,4,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,8,0,0,10,0,3,0,3,0,0,16,72,88,83,27,47,14,20,30,3,384
Walkerville (M),48260,10,3,28,16,7,12,0,10,0,86,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,3,0,0,5,26,5,10,3,0,3,3,0,5,4,34,479,1239,160,166,265,143,38,62,26,2571
Wattle Range (DC),48340,18,3,56,26,19,19,3,21,0,176,0,0,0,0,3,0,0,7,0,5,8,5,0,4,4,0,5,3,0,32,24,3,19,12,9,7,12,22,10,126,503,503,465,366,252,127,160,314,34,2718
West Torrens (C),48410,117,34,425,168,110,90,37,103,10,1102,0,0,3,3,4,3,0,9,0,34,16,56,24,33,42,20,19,34,3,251,38,48,50,44,41,44,30,41,46,379,2242,6093,2612,2389,2338,1186,640,1174,237,18906
Whyalla (C),48540,24,4,88,45,19,35,30,26,5,270,3,0,0,0,0,3,3,3,0,15,3,3,7,6,3,3,10,7,3,47,6,9,38,17,9,23,41,34,15,185,418,1135,1181,702,419,223,546,292,109,5021
Dandaragan (S),52590,7,0,12,7,5,0,6,4,0,48,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,3,0,14,7,3,5,7,5,0,7,11,3,47,197,120,144,66,83,23,61,118,16,830
Wudinna (DC),48640,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,5,4,3,0,18,76,58,49,25,17,13,13,37,5,293
Yankalilla (DC),48750,13,0,38,13,0,8,3,7,0,76,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,17,5,3,6,6,3,7,4,9,0,41,195,222,227,164,114,81,43,119,24,1195
Yorke Peninsula (DC),48830,20,3,56,13,9,20,7,18,0,145,0,0,3,0,0,0,0,0,0,4,0,0,0,6,0,0,3,0,0,13,27,4,10,12,8,5,14,16,9,114,497,384,400,294,202,110,97,223,31,2243
Unincorporated SA,49399,8,0,24,4,3,0,9,5,0,57,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,9,15,3,3,6,3,0,4,7,3,48,187,126,237,79,65,19,103,103,11,920
No usual address (SA),49499,3,0,6,0,0,7,0,8,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,3,0,0,0,8,10,3,25,35,96,77,32,34,20,36,109,7,444
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Albany (C),50080,69,18,203,82,63,57,35,68,4,588,0,0,0,3,0,4,0,3,0,16,11,22,19,20,12,3,13,16,3,114,32,27,45,41,36,26,37,45,38,321,1244,2365,1918,1489,1047,588,489,801,147,10088
Armadale (C),50210,125,33,429,200,164,169,129,128,6,1388,4,3,4,6,3,3,7,12,0,33,22,29,34,51,40,22,48,14,8,269,39,41,98,72,67,45,80,88,72,601,2233,5214,4885,2970,2904,1390,1601,1443,310,22960
Ashburton (S),50250,24,0,83,22,13,3,80,67,0,296,0,0,0,0,0,0,3,0,0,3,7,5,20,4,4,0,34,11,0,84,7,10,39,7,3,3,41,22,23,151,412,785,2551,193,291,45,799,591,84,5753
Augusta-Margaret River (S),50280,62,4,159,52,24,34,20,46,5,410,0,0,3,0,0,0,0,0,0,8,9,9,4,4,3,3,3,5,3,40,24,11,22,12,8,16,12,20,15,149,730,1022,949,516,369,319,184,512,70,4675
Bassendean (T),50350,26,8,81,44,42,21,13,14,3,258,0,0,3,0,0,0,0,0,0,3,7,14,3,12,14,3,3,0,0,52,12,10,18,14,20,9,16,15,15,129,601,1568,863,580,658,234,201,234,62,4993
Broomehill-Tambellup (S),51080,7,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,0,0,4,15,77,37,37,34,35,4,10,12,4,250
Bruce Rock (S),51120,0,0,3,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,3,0,10,65,35,32,29,20,9,12,21,0,214
Bunbury (C),51190,49,12,208,80,58,46,35,90,3,578,0,0,0,3,0,3,0,9,0,16,9,24,28,11,16,8,11,11,0,109,16,7,43,28,22,23,26,56,38,258,851,2164,1922,1037,863,511,496,796,112,8758
Busselton (C),51260,118,18,312,111,63,60,54,86,12,835,3,0,3,0,0,3,0,3,0,13,16,15,16,8,9,9,14,3,0,91,34,22,59,31,29,41,23,38,32,315,1376,2242,2271,1244,1035,695,525,805,124,10319
Cambridge (T),51310,36,14,82,26,34,19,0,6,0,221,0,0,3,3,3,3,0,3,0,15,20,43,8,3,17,6,5,3,5,111,14,20,12,12,13,4,3,5,17,99,1961,5126,698,590,1046,428,113,201,136,10299
Chittering (S),51680,10,0,22,13,14,7,10,16,0,95,0,0,0,0,0,0,0,0,0,3,3,11,0,3,0,0,3,0,0,20,4,3,19,3,12,3,7,13,4,72,238,226,371,148,174,56,114,132,32,1498
Dardanup (S),52660,25,7,91,38,20,33,27,34,0,269,0,0,0,0,0,0,0,0,0,3,7,5,5,9,4,0,7,4,0,36,10,3,24,8,6,5,16,12,14,95,379,701,1027,462,410,238,313,272,54,3848
Claremont (T),51750,12,3,25,11,8,7,0,5,0,66,0,0,0,0,0,0,0,0,0,0,15,12,3,0,8,4,0,3,0,42,6,11,3,6,9,10,0,0,9,53,701,1784,192,218,322,202,25,62,46,3553
Cockburn (C),51820,226,68,732,299,270,229,108,178,16,2127,4,3,15,4,8,4,3,15,0,61,42,74,80,61,41,14,27,27,14,379,75,76,168,76,92,68,69,110,137,862,4032,9732,7206,3675,4216,1830,1524,1858,541,34614
Collie (S),51890,5,0,40,18,7,9,18,15,5,127,0,0,0,0,0,0,0,0,3,4,0,3,0,3,0,0,3,0,3,25,4,0,22,7,6,12,24,19,5,94,130,261,640,253,172,67,235,146,31,1930
Denmark (S),52730,17,0,41,13,9,3,4,11,0,95,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,0,3,3,0,21,9,4,9,3,4,3,7,17,4,52,260,444,278,171,163,92,47,142,14,1612
Derby-West Kimberley (S),52800,4,3,23,10,7,6,0,5,0,61,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,15,6,8,12,37,10,4,3,15,17,116,158,432,193,278,156,48,40,156,42,1495
Donnybrook-Balingup (S),52870,14,8,20,10,9,4,6,14,0,83,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,7,13,6,10,5,7,5,10,14,10,83,248,308,297,157,145,75,111,145,26,1516
Corrigin (S),52100,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,4,4,18,64,52,39,19,25,13,24,25,7,252
Cottesloe (T),52170,10,0,22,10,8,8,0,3,0,60,0,0,0,0,0,0,0,0,0,0,12,19,8,4,5,3,0,0,3,45,5,4,4,0,0,3,0,5,4,33,641,1618,159,144,244,132,22,51,64,3068
Cranbrook (S),52240,4,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,101,22,33,23,24,9,7,41,3,261
Cuballing (S),52310,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,9,51,39,32,21,17,3,14,12,0,187
Cue (S),52380,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,4,3,6,0,3,7,0,37
Cunderdin (S),52450,4,0,4,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,0,11,77,60,63,36,23,12,15,29,6,316
Dalwallinu (S),52520,4,3,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,20,98,49,74,28,36,19,26,28,0,354
Dowerin (S),52940,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,9,46,22,14,15,17,4,3,15,0,141
Dumbleyung (S),53010,3,0,3,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,26,10,15,17,3,3,15,0,148
Dundas (S),53080,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,12,27,25,34,13,11,3,11,15,7,151
Kalamunda (S),54200,91,26,314,144,159,90,74,96,11,993,0,0,0,3,3,4,11,7,3,37,23,40,34,30,25,19,21,17,6,216,27,30,80,32,59,33,62,41,57,415,2074,4194,3725,1888,2216,868,995,859,261,17079
East Fremantle (T),53150,21,3,29,10,9,8,3,3,0,95,0,0,0,0,0,0,0,0,0,0,3,17,6,9,4,0,0,0,0,41,4,5,0,6,0,3,4,3,7,40,559,1294,289,216,274,138,42,60,37,2909
East Pilbara (S),53220,19,7,73,13,14,4,59,36,3,222,0,0,0,0,3,0,3,0,0,11,11,7,8,5,3,0,21,3,4,62,12,9,36,9,10,0,28,9,15,122,291,548,1458,148,165,40,767,244,61,3714
Esperance (S),53290,33,5,85,26,27,20,22,23,3,237,0,0,0,0,0,0,0,0,0,8,5,3,4,3,0,0,4,3,0,26,33,14,28,15,13,13,26,29,18,184,615,752,725,351,395,191,252,295,53,3632
Exmouth (S),53360,7,4,23,11,9,7,0,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,9,3,3,3,0,3,6,33,131,191,225,110,105,42,29,87,22,955
Fremantle (C),53430,48,20,164,70,31,34,11,41,5,421,0,5,0,3,0,3,3,3,0,12,31,57,11,15,11,6,3,5,8,146,27,32,26,29,13,6,7,24,40,202,1561,4653,1267,927,947,469,249,391,167,10632
Gingin (S),53570,12,0,24,8,6,5,5,13,0,65,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0,0,11,12,0,9,4,0,11,14,15,3,67,204,134,254,95,121,53,95,195,21,1165
Gnowangerup (S),53640,3,0,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,11,111,42,54,22,27,4,15,37,3,312
Kalgoorlie/Boulder (C),54280,45,14,142,66,63,50,75,39,3,495,0,0,4,0,0,0,0,0,0,13,4,7,26,20,10,8,38,11,7,125,12,18,59,24,15,27,72,47,44,310,860,1930,2479,840,722,356,1015,454,147,8799
Karratha (C),54310,39,15,112,47,69,22,43,53,3,407,3,0,3,0,0,0,0,7,0,20,16,17,22,23,16,3,35,5,0,132,26,14,73,28,31,27,41,36,22,302,755,1372,2273,579,755,249,705,476,155,7322
Goomalling (S),53710,0,0,3,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,11,61,38,35,24,34,7,16,13,5,230
Gosnells (C),53780,189,49,744,289,223,186,164,192,32,2057,0,5,21,9,7,3,13,15,0,75,34,49,72,59,47,24,65,44,12,400,66,43,191,82,82,83,125,127,138,941,2981,7379,6783,4074,4069,2014,2235,2351,523,32410
Greater Geraldton (C),53800,60,17,215,96,66,68,24,66,8,627,3,0,3,0,0,3,0,4,0,18,9,24,9,31,5,10,11,15,7,122,25,30,60,38,19,27,46,48,34,334,1143,2448,2232,1299,1045,519,566,736,173,10171
Halls Creek (S),53920,3,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,7,7,0,4,6,6,41,61,148,44,73,26,10,12,44,18,433
Harvey (S),53990,26,12,129,55,45,47,47,59,8,434,0,0,3,0,0,0,0,4,3,11,16,12,17,0,7,4,13,13,3,86,18,13,56,15,20,23,28,52,25,241,745,1383,1850,800,723,389,518,659,114,7179
Irwin (S),54060,3,3,26,4,5,7,8,7,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,3,3,4,7,5,5,6,8,4,47,118,144,204,83,97,33,63,91,19,846
Jerramungup (S),54130,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,12,113,39,53,16,26,9,22,29,4,301
Joondalup (C),54170,261,86,808,409,391,313,108,205,25,2600,0,6,11,8,10,7,0,6,0,52,85,117,81,87,73,32,30,31,18,558,90,110,191,104,130,96,51,91,147,1005,7553,17146,9905,5535,6632,3068,1475,2239,758,54314
Katanning (S),54340,3,0,17,5,9,3,3,10,0,54,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,9,3,0,8,5,0,0,5,22,6,58,120,195,186,101,66,42,42,123,13,888
Kellerberrin (S),54410,0,0,4,3,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,6,4,0,0,4,5,4,24,56,37,49,42,15,3,17,25,7,254
Kwinana (C),54830,66,19,283,109,100,79,65,81,6,807,3,3,0,0,0,0,0,3,0,12,15,14,19,19,15,10,27,9,9,132,20,16,57,24,27,32,70,56,32,338,875,2175,2369,1454,1251,659,768,789,190,10520
Lake Grace (S),54900,5,0,3,4,3,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,3,0,0,0,3,0,0,20,120,41,63,20,36,10,22,30,3,350
Kent (S),54480,0,0,0,0,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,69,14,11,10,12,5,7,19,0,144
Kojonup (S),54550,7,0,4,0,3,0,4,6,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,0,3,0,3,5,3,5,0,27,173,98,75,39,39,24,27,57,10,527
Merredin (S),55460,3,3,9,5,4,7,3,3,0,33,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,6,3,0,7,3,3,3,10,8,3,32,128,170,167,71,78,38,72,60,8,794
Kondinin (S),54620,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,18,77,22,37,25,13,9,17,27,4,232
Koorda (S),54690,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,18,8,16,6,15,0,9,10,0,78
Kulin (S),54760,0,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,71,42,20,10,10,8,17,16,3,194
