lga_name_2016,lga_code_2016,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total
Flinders (M) (Tas.),62010,4,0,3,0,3,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,0,0,0,6,26,83,52,45,25,15,11,3,30,8,270
George Town (M),62210,6,0,33,11,10,6,11,9,0,86,0,0,0,0,0,0,0,0,0,6,3,3,0,3,0,0,3,0,0,12,3,3,17,6,3,7,14,11,6,86,123,214,284,165,127,56,107,119,24,1221
Glamorgan/Spring Bay (M),62410,19,3,46,18,7,3,3,17,0,126,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,3,0,0,0,10,11,0,6,3,0,7,4,16,5,51,200,149,170,122,91,64,29,123,11,965
Glenorchy (C),62610,74,20,382,150,85,82,36,105,13,949,0,3,0,6,0,7,3,11,0,26,17,23,20,22,19,4,27,15,8,162,32,18,78,54,36,42,39,67,46,404,1046,2277,2253,1921,1595,705,520,750,196,11265
Hobart (C),62810,130,23,335,135,84,74,11,67,8,862,6,3,3,8,4,0,0,8,0,25,59,105,15,38,48,20,3,19,12,319,29,61,20,35,37,25,5,24,35,276,2591,8420,1685,1803,1987,821,212,591,259,18364
Huon Valley (M),63010,26,5,93,44,23,19,7,33,3,260,0,0,0,0,0,0,0,0,0,6,12,13,0,4,7,3,0,7,0,50,24,17,29,16,14,23,20,38,15,189,612,930,792,507,464,188,181,398,70,4143
Kentish (M),63210,12,3,55,15,5,6,4,8,0,104,3,0,3,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,11,7,6,12,11,0,3,17,13,10,78,198,267,306,206,126,57,92,136,40,1440
King Island (M),63410,10,0,12,3,3,0,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,3,3,0,6,3,23,128,60,78,30,42,14,19,82,12,474
Kingborough (M),63610,66,13,212,91,78,58,19,37,5,578,0,0,3,0,0,5,3,0,0,13,24,44,26,26,31,9,9,8,7,170,31,28,40,25,24,19,13,33,33,248,1638,3959,1734,1323,1445,559,219,445,177,11496
Upper Gascoyne (S),58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,6,9,0,0,0,9,0,41
Victoria Park (T),58510,62,21,286,119,69,62,33,56,4,708,0,0,0,3,0,3,0,5,0,20,26,33,23,24,25,10,11,14,7,162,19,22,37,33,8,17,8,31,39,210,1622,4681,1895,1286,1393,687,388,751,162,12869
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,0,0,0,6,0,30
Alice Springs (T),70200,50,25,130,98,95,53,21,43,4,528,3,3,0,3,0,4,0,4,0,15,22,36,14,32,18,6,3,8,4,147,23,32,26,42,30,7,29,24,32,250,1094,2773,1184,1429,1030,331,268,399,183,8693
Latrobe (M) (Tas.),63810,19,11,85,49,13,22,4,26,0,215,0,0,0,0,0,0,0,0,0,0,3,3,6,3,4,3,0,0,0,19,9,9,28,9,10,19,10,26,11,122,402,575,590,358,222,166,113,211,43,2685
Victoria Plains (S),58540,0,0,6,0,4,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,9,79,19,29,12,22,4,23,19,0,215
Launceston (C),64010,133,30,410,186,107,119,52,119,7,1164,0,0,4,3,3,0,0,7,7,20,26,51,28,27,29,10,16,23,12,217,41,33,79,57,39,43,53,99,62,520,1984,5176,2723,2305,1839,1020,639,1063,242,16994
Meander Valley (M),64210,35,9,134,47,33,30,11,33,0,338,3,0,0,0,0,0,0,3,0,13,10,9,5,8,0,3,6,7,0,45,37,12,31,26,16,8,20,24,10,196,780,1145,932,673,559,233,269,322,61,4988
Northern Midlands (M),64610,26,3,86,31,19,29,11,31,0,232,0,0,0,0,0,0,0,0,0,0,10,6,7,3,4,0,10,6,0,42,17,6,30,9,21,9,27,23,9,157,558,607,598,356,339,159,178,253,43,3087
Sorell (M),64810,24,8,116,52,33,36,7,19,5,299,0,0,0,0,0,0,0,0,0,3,3,15,9,12,13,0,3,3,3,53,14,4,32,11,11,19,13,23,21,149,471,754,827,550,510,248,169,246,73,3852
Vincent (C),58570,92,15,290,94,68,52,15,45,7,685,0,0,3,3,0,3,0,3,0,16,26,78,12,19,28,10,6,6,3,200,32,43,26,15,22,22,9,23,40,227,2284,6722,1548,1188,1462,684,230,518,174,14816
Wagin (S),58610,3,0,5,3,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,0,0,0,3,0,0,0,3,21,87,69,59,40,27,16,21,29,4,366
Wandering (S),58680,3,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,26,10,17,7,10,0,16,12,5,107
Wanneroo (C),58760,359,112,1307,645,547,449,176,368,29,3988,9,6,16,10,9,15,10,25,0,92,68,106,100,122,59,33,68,61,27,638,110,96,299,161,171,162,162,227,228,1625,5885,12301,12539,7372,6966,3495,2661,3756,871,55859
Waroona (S),58820,3,0,21,9,4,3,10,8,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,10,10,3,0,11,15,7,67,85,123,283,126,79,31,89,75,15,899
West Arthur (S),58890,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,0,0,0,3,0,14,85,24,19,13,18,3,9,18,4,200
East Arnhem (R),71300,3,4,0,0,3,5,0,0,0,22,0,3,3,0,0,0,0,0,0,6,3,3,0,3,0,3,0,0,4,18,7,24,4,23,10,3,3,21,49,136,69,277,50,155,63,30,22,42,66,778
Westonia (S),59030,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,15,24,9,6,3,8,7,0,89
Palmerston (C),72800,65,28,200,118,100,60,44,60,16,697,0,0,3,3,3,0,0,6,0,17,24,21,33,59,30,5,16,9,12,202,30,21,63,37,55,34,42,38,60,388,1282,2141,2581,1631,1660,550,580,636,233,11298
Wickepin (S),59100,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,15,58,18,15,14,14,8,9,18,6,169
Wagait (S),74560,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,3,4,0,0,0,0,0,17,26,52,25,15,20,6,5,11,0,161
Williams (S),59170,0,0,9,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,3,0,0,0,0,0,11,88,54,29,26,28,6,16,31,5,281
Wiluna (S),59250,0,0,3,0,0,0,7,5,0,14,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,3,13,13,41,74,10,10,4,52,30,7,241
Migratory - Offshore - Shipping (NT),79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,18
Unincorporated ACT,89399,656,246,2025,816,914,407,152,318,85,5611,10,18,9,13,6,13,3,30,4,105,591,676,141,311,505,94,66,94,133,2610,279,384,287,263,349,148,89,188,419,2397,26614,57086,14328,13494,23010,5442,2091,4248,3583,149895
No usual address (ACT),89499,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,47,11,21,29,7,3,8,9,139
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,11,0,33,14,12,8,10,7,0,89,0,0,0,0,0,0,0,0,0,5,3,0,11,4,3,0,4,0,0,18,7,5,14,13,9,4,10,13,4,90,241,214,278,195,150,48,64,111,29,1335
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
Katherine (T),72200,22,7,51,17,23,15,3,16,3,154,0,0,0,0,0,0,0,0,0,6,3,3,18,20,3,0,0,0,3,57,12,7,20,24,24,5,19,22,12,142,362,687,585,441,351,114,98,155,44,2837
Litchfield (M),72300,45,17,110,56,60,30,41,45,3,400,0,0,5,3,0,0,0,3,3,19,15,16,19,31,14,3,21,17,0,142,38,28,85,34,49,25,43,61,31,385,983,1256,2343,789,933,265,481,531,149,7729
Wongan-Ballidu (S),59310,3,0,5,3,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,14,80,64,77,30,30,22,28,28,11,348
Woodanilling (S),59320,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,15,10,5,13,7,14,11,0,101
Wyalkatchem (S),59330,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,6,8,12,0,3,13,3,89
Wyndham-East Kimberley (S),59340,18,0,43,15,18,13,8,6,0,127,0,3,0,0,0,0,0,0,0,4,5,3,0,6,8,0,0,0,0,28,11,9,25,13,11,4,11,10,17,106,289,545,353,279,239,86,96,140,41,2065
Yilgarn (S),59360,3,0,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,0,5,0,0,0,3,3,3,16,55,33,91,16,18,6,46,18,7,286
York (S),59370,3,0,13,3,3,6,7,3,0,45,3,0,0,0,0,0,0,0,0,3,4,3,0,0,3,0,0,0,0,10,11,0,8,0,0,0,0,4,3,26,143,175,133,108,87,42,45,68,7,804
No usual address (WA),59499,3,5,29,8,6,4,8,17,3,85,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,9,7,0,22,0,0,9,3,0,0,9,9,8,42,73,214,279,110,77,41,139,193,42,1169
Migratory - Offshore - Shipping (WA),59799,0,0,15,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,13,78,73,0,4,0,21,55,9,250
Break O'Day (M),60210,15,0,43,15,18,12,5,16,0,123,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,10,4,4,4,8,3,3,9,7,0,42,207,219,203,173,120,74,65,104,12,1181
Brighton (M),60410,36,5,126,43,29,32,13,31,0,320,0,0,0,0,0,0,0,0,0,5,5,4,8,7,4,5,3,8,0,53,12,11,32,23,24,18,28,40,13,200,386,485,828,638,478,234,189,276,60,3567
Burnie (C),60610,33,0,116,36,40,37,12,35,4,313,0,0,0,0,0,5,4,0,0,11,6,10,3,3,3,0,9,4,4,43,11,7,21,28,17,23,14,40,14,167,483,1029,832,669,519,281,275,346,79,4498
Central Coast (M) (Tas.),60810,29,10,138,63,32,38,15,36,0,362,0,0,0,0,0,0,3,0,0,3,8,18,7,3,5,0,0,4,0,54,26,15,31,25,19,24,32,35,20,220,674,1317,1139,756,589,278,254,387,62,5452
Central Highlands (M) (Tas.),61010,6,0,14,3,0,3,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,3,0,3,0,0,0,3,8,0,27,111,51,70,49,24,16,24,62,3,418
Circular Head (M),61210,18,6,36,20,13,14,5,45,3,171,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,20,31,0,9,0,3,9,10,31,13,110,400,261,314,216,150,78,101,290,41,1846
Barkly (R),70420,8,8,16,6,10,3,0,6,0,60,0,0,0,0,0,0,0,0,0,3,4,3,0,3,0,0,0,3,0,16,7,8,6,25,11,4,0,10,6,84,176,293,127,209,104,25,28,128,29,1124
Belyuen (S),70540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,10
Central Desert (R),70620,5,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,14,3,9,0,7,0,9,3,41,70,96,28,75,41,14,20,41,14,406
Coomalie (S),70700,4,3,4,3,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,7,4,3,7,3,4,0,3,3,0,22,43,60,39,32,29,14,18,25,12,275
Darwin (C),71000,172,50,546,257,210,119,62,113,13,1536,3,9,9,10,6,7,5,20,4,75,75,97,61,93,53,18,32,32,19,469,81,69,135,108,76,60,52,112,155,840,4212,9118,4873,3445,3512,1336,906,1560,539,29516
MacDonnell (R),72330,4,6,12,7,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,11,0,10,4,22,7,3,3,13,11,78,83,175,39,154,48,17,15,66,18,620
