SA3_MAIN11,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings,SA3_NAME11
19797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
19999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NSW)
20101,2795,12918,13319,4024,1984,35040,1236,36276,Ballarat
20102,417,3014,3885,1571,1040,9927,366,10293,Creswick - Daylesford - Ballan
20103,531,3190,3483,1305,837,9346,377,9723,Maryborough - Pyrenees
20201,2489,11630,12242,3867,1624,31852,1001,32853,Bendigo
20202,826,5192,6276,2366,1450,16110,484,16594,Heathcote - Castlemaine - Kyneton
20603,3610,9472,7291,1760,720,22853,775,23628,Essendon
11801,8605,21567,12498,2370,912,45952,1490,47442,Eastern Suburbs - North
20203,213,1202,1577,727,525,4244,157,4401,Loddon - Elmore
20301,101,1065,2443,1089,755,5453,149,5602,Barwon - West
20302,5422,24090,24440,7085,3247,64284,2142,66426,Geelong
20303,745,7519,9715,2671,1162,21812,578,22390,Surf Coast - Bellarine Peninsula
20401,905,6042,7129,2559,1528,18163,687,18850,Upper Goulburn Valley
20402,1179,5933,6479,2273,1180,17044,601,17645,Wangaratta - Benalla
20403,1397,8107,9534,3198,1531,23767,745,24512,Wodonga - Alpine
20501,753,4920,6253,2294,1345,15565,456,16021,Baw Baw
20502,1011,6080,6300,1929,962,16282,625,16907,Gippsland - East
20503,1139,7902,8425,2782,1350,21598,784,22382,Gippsland - South West
20504,2448,9971,9758,3160,1466,26803,1081,27884,Latrobe Valley
20505,942,5210,5706,2118,1115,15091,529,15620,Wellington
20601,5243,13879,8224,1930,692,29968,978,30946,Brunswick - Coburg
20602,3024,8925,5396,1097,433,18875,581,19456,Darebin - South
10803,22,86,24,4,0,136,0,136,Lord Howe Island
10804,2235,12238,9946,2648,1029,28096,973,29069,Port Macquarie
10805,1552,7882,7101,2018,882,19435,699,20134,Taree - Gloucester
10901,1873,8098,7975,2387,1038,21371,789,22160,Albury
10902,380,1430,1743,592,306,4451,220,4671,Lower Murray
10903,996,5735,6004,1741,845,15321,696,16017,Upper Murray exc. Albury
11001,1008,4738,4609,1536,730,12621,427,13048,Armidale
11002,1187,5326,4972,1769,882,14136,562,14698,Inverell - Tenterfield
11003,797,2843,3274,1201,641,8756,444,9200,Moree - Narrabri
11004,2134,10101,10517,3491,1640,27883,1051,28934,Tamworth - Gunnedah
11101,3396,15444,16631,5028,2305,42804,1352,44156,Lake Macquarie - East
11102,1604,8957,9387,3272,1623,24843,772,25615,Lake Macquarie - West
11103,6879,23656,20942,5370,2157,59004,2136,61140,Newcastle
11201,1910,11460,10542,2813,1120,27845,948,28793,Richmond Valley - Coastal
11202,2110,10009,9496,2788,1162,25565,844,26409,Richmond Valley - Hinterland
11203,2642,14277,11225,2987,1253,32384,1274,33658,Tweed Valley
11301,1212,5316,6088,2043,1130,15789,681,16470,Griffith - Murrumbidgee (West)
11302,352,1912,2004,655,369,5292,213,5505,Tumut - Tumbarumba
11303,2351,11309,12255,3917,1862,31694,1173,32867,Wagga Wagga
11401,2365,14990,12438,3458,1426,34677,1191,35868,Shoalhaven
11402,827,6067,6402,1894,1019,16209,493,16702,Southern Highlands
11501,1171,10538,19632,6597,3289,41227,637,41864,Baulkham Hills
11502,249,1610,3125,1548,1350,7882,156,8038,Dural - Wisemans Ferry
11503,143,1551,3120,1468,1106,7388,157,7545,Hawkesbury
11504,135,1511,3860,1384,967,7857,168,8025,Rouse Hill - McGraths Hill
11601,4310,15362,14207,4310,1734,39923,1421,41344,Blacktown
11602,760,6553,10503,2912,1308,22036,470,22506,Blacktown - North
11603,3527,11491,10008,3036,1297,29359,1260,30619,Mount Druitt
11701,2425,5943,3992,871,341,13572,548,14120,Botany
11802,8884,20774,12777,2620,934,45989,1574,47563,Eastern Suburbs - South
11901,5535,18145,16845,5276,2580,48381,1942,50323,Bankstown
11902,5822,16749,11561,3156,1425,38713,1746,40459,Canterbury
11903,5512,16241,12754,3513,1515,39535,1177,40712,Hurstville
11904,5801,19120,12579,3185,1239,41924,1430,43354,Kogarah - Rockdale
12001,2693,11605,9677,2109,801,26885,619,27504,Canada Bay
12002,3167,10700,5911,823,233,20834,484,21318,Leichhardt
12003,8738,21785,12248,2905,1216,46892,1445,48337,Strathfield - Burwood - Ashfield
12101,4708,17036,11632,2345,815,36536,722,37258,Chatswood - Lane Cove
12102,2418,10861,9529,2417,1011,26236,536,26772,Hornsby
12103,1479,11323,16076,4575,1804,35257,612,35869,Ku-ring-gai
12104,6032,20037,9582,1568,487,37706,766,38472,North Sydney - Mosman
12201,1857,6692,4909,1001,311,14770,364,15134,Manly
12202,808,5887,8918,2510,1171,19294,480,19774,Pittwater
12203,3981,18857,19491,4838,2245,49412,1224,50636,Warringah
12301,526,4095,7961,2440,1204,16226,338,16564,Camden
12302,4446,17598,15966,5371,2590,45971,1587,47558,Campbelltown (NSW)
12303,405,2835,4649,2077,1497,11463,378,11841,Wollondilly
12401,2259,10861,10063,2867,1274,27324,633,27957,Blue Mountains
12402,0,0,3,0,0,3,0,3,Blue Mountains - South
12403,3129,13752,16069,5303,2905,41158,1172,42330,Penrith
12404,806,4106,4200,1529,1064,11705,353,12058,Richmond - Windsor
12405,1349,5545,6022,2250,1213,16379,547,16926,St Marys
12501,3186,9466,6546,1565,591,21354,929,22283,Auburn
12502,1766,6779,8048,2116,891,19600,507,20107,Carlingford
12503,5622,15780,13552,4092,2008,41054,1757,42811,Merrylands - Guildford
12504,6055,19837,12484,2807,1249,42432,1283,43715,Parramatta
12601,1025,5565,5707,1548,547,14392,241,14633,Pennant Hills - Epping
12602,5353,18262,13916,3370,1471,42372,1048,43420,Ryde - Hunters Hill
12701,1585,5681,8649,3608,2164,21687,797,22484,Bringelly - Green Valley
12702,5991,17436,16657,6432,3372,49888,2217,52105,Fairfield
12703,3498,11011,11519,3621,1514,31163,1316,32479,Liverpool
12801,3142,13950,14921,4217,2090,38320,1137,39457,Cronulla - Miranda - Caringbah
12802,1904,10524,14986,4891,2660,34965,736,35701,Sutherland - Menai - Heathcote
10101,1688,8169,9248,3473,1892,24470,784,25254,Goulburn - Yass
10102,1005,6044,7433,2790,1584,18856,502,19358,Queanbeyan
10103,446,2344,2627,837,430,6684,267,6951,Snowy Mountains
10104,1554,11197,9750,2622,1010,26133,945,27078,South Coast
10201,5969,23977,21063,5763,2669,59441,2049,61490,Gosford
10202,4541,22042,18920,5511,2509,53523,2188,55711,Wyong
10301,1130,5234,5729,1952,963,15008,525,15533,Bathurst
10302,1662,7207,7418,2593,1374,20254,853,21107,Lachlan Valley
10303,1379,5724,5871,1997,1052,16023,661,16684,Lithgow - Mudgee
10304,1415,6598,7382,2441,1240,19076,702,19778,Orange
10401,1435,7774,6547,1881,774,18411,672,19083,Clarence Valley
10402,2393,12573,10964,3038,1234,30202,1059,31261,Coffs Harbour
10501,1115,3283,2872,979,581,8830,507,9337,Bourke - Cobar - Coonamble
10502,943,3471,2528,756,307,8005,423,8428,Broken Hill and Far West
10503,2026,8596,8730,2866,1459,23677,914,24591,Dubbo
10601,1655,9121,11306,3972,2159,28213,948,29161,Lower Hunter
10602,1532,7219,9198,2913,1491,22353,616,22969,Maitland
10603,1377,9546,9242,2870,1316,24351,770,25121,Port Stephens
10604,723,3500,4147,1409,641,10420,359,10779,Upper Hunter
10701,2748,9303,8783,2835,1328,24997,925,25922,Dapto - Port Kembla
10702,0,3,0,0,0,3,0,3,Illawarra Catchment Reserve
10703,1926,10166,11378,3709,1714,28893,931,29824,Kiama - Shellharbour
10704,5451,17482,15535,4135,1760,44363,1480,45843,Wollongong
10801,909,5748,3838,965,395,11855,489,12344,Great Lakes
10802,1560,7596,5979,1746,690,17571,678,18249,Kempsey - Nambucca
20604,16020,16346,5469,818,244,38897,1072,39969,Melbourne City
20605,7751,21082,10217,1486,463,40999,1070,42069,Port Phillip
21105,1916,13772,20881,7714,4927,49210,1208,50418,Yarra Ranges
21201,813,6859,10692,3833,2310,24507,581,25088,Cardinia
21202,1719,11267,17061,5841,2977,38865,1181,40046,Casey - North
21203,1402,11365,17959,5772,2798,39296,1136,40432,Casey - South
21204,5775,20811,18879,6252,2783,54500,2545,57045,Dandenong
21205,4193,19271,22584,6535,2776,55359,1412,56771,Monash
21301,4645,18411,19810,7089,3375,53330,2483,55813,Brimbank
21302,2680,11370,10636,2836,1150,28672,918,29590,Hobsons Bay
21303,4069,11411,7776,1699,556,25511,936,26447,Maribyrnong
21304,1749,11573,17651,5422,2747,39142,1198,40340,Melton - Bacchus Marsh
21305,2612,18165,23057,6361,2755,52950,1407,54357,Wyndham
21401,3340,16902,17927,5308,2374,45851,1554,47405,Frankston
21402,2726,18280,22033,6251,3062,52352,1798,54150,Mornington Peninsula
21501,1680,7651,8479,3077,1877,22764,833,23597,Grampians
21502,1601,6500,6979,2245,1076,18401,848,19249,Mildura
21503,1036,4539,5258,1775,1096,13704,634,14338,Murray River - Swan Hill
21601,845,4399,5205,1904,1001,13354,501,13855,Campaspe
21602,637,3626,3875,1440,782,10360,390,10750,Moira
21603,1576,7084,8127,2738,1388,20913,829,21742,Shepparton
21701,837,4667,5102,1975,1190,13771,493,14264,Glenelg - Southern Grampians
21702,1879,10425,12069,4094,2372,30839,1013,31852,Warrnambool - Otway Ranges
29797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
29999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Vic.)
30101,1031,7163,9862,3650,1956,23662,518,24180,Capalaba
30102,1836,8741,10707,3694,1753,26731,669,27400,Cleveland - Stradbroke
30103,1688,8210,9451,2504,1057,22910,673,23583,Wynnum - Manly
30201,619,4317,5646,1829,796,13207,250,13457,Bald Hills - Everton Park
30202,2782,10275,8913,2343,910,25223,825,26048,Chermside
30203,1391,5601,4394,1231,526,13143,359,13502,Nundah
30204,1695,7840,6948,1981,804,19268,609,19877,Sandgate
30303,1790,8042,8506,2646,1193,22177,539,22716,Mt Gravatt
30305,764,5168,7377,2365,954,16628,438,17066,Rocklea - Acacia Ridge
40203,2975,9670,7692,1996,647,22980,809,23789,Port Adelaide - East
40204,3667,17501,16914,5014,2255,45351,1356,46707,Salisbury
40205,1861,11793,13936,4366,1963,33919,656,34575,Tea Tree Gully
50502,5210,26276,26069,7354,3280,68189,2051,70240,Stirling
50503,1758,14652,21653,7152,3498,48713,1165,49878,Wanneroo
50801,261,1606,2125,807,449,5248,199,5447,Esperance
50802,251,1079,1092,423,229,3074,170,3244,Gascoyne
50803,993,3932,4502,1736,847,12010,489,12499,Goldfields
50804,1551,3023,2721,914,554,8763,481,9244,Kimberley
50805,1168,5919,6774,2627,1524,18012,687,18699,Mid West
11702,4020,9519,4207,767,293,18806,617,19423,Marrickville - Sydenham - Petersham
11703,28913,33621,9033,1144,379,73090,2257,75347,Sydney Inner City
20606,4734,11248,6144,1157,477,23760,650,24410,Stonnington - West
20607,6655,14750,7245,1285,325,30260,986,31246,Yarra
20701,4921,20759,22084,5763,2483,56010,1220,57230,Boroondara
20702,1348,9167,13220,4117,1962,29814,637,30451,Manningham - West
20703,3414,13207,12680,3085,1291,33677,970,34647,Whitehorse - West
20801,2034,11279,14195,3494,1468,32470,801,33271,Bayside
20903,433,4140,9242,3714,2706,20235,315,20550,Nillumbik - Kinglake
20904,2659,15482,22368,7765,4074,52348,1616,53964,Whittlesea - Wallan
21001,1229,6274,8023,2509,1220,19255,634,19889,Keilor
21002,174,1962,3956,1645,1020,8757,183,8940,Macedon Ranges
21003,2830,9939,7822,2110,905,23606,1007,24613,Moreland - North
21004,527,3602,5337,1906,1054,12426,286,12712,Sunbury
21005,2431,12328,15685,5594,2817,38855,1396,40251,Tullamarine - Broadmeadows
21101,2209,14855,22285,7521,4013,50883,1183,52066,Knox
21102,184,1598,3631,1478,1153,8044,135,8179,Manningham - East
21103,2294,13137,15186,4405,2297,37319,926,38245,Maroondah
21104,1377,7533,8513,2246,955,20624,453,21077,Whitehorse - East
20802,5547,20965,18651,4210,1689,51062,1441,52503,Glen Eira
20803,3307,15615,16250,3836,1637,40645,1245,41890,Kingston
20804,1452,5577,5436,1348,524,14337,357,14694,Stonnington - East
20901,3080,15433,17037,4754,2307,42611,1088,43699,Banyule
20902,4501,13050,9697,2522,1130,30900,1267,32167,Darebin - North
40101,2454,3621,1474,265,80,7894,285,8179,Adelaide City
40102,787,6612,10624,3748,2163,23934,464,24398,Adelaide Hills
50603,2190,10221,11635,4146,2167,30359,883,31242,Canning
31603,1608,9002,7343,1767,638,20358,675,21033,Maroochy
31604,1012,6807,8421,2949,1368,20557,569,21126,Nambour - Pomona
31605,853,5835,5419,1235,381,13723,392,14115,Noosa
31606,463,5483,6819,2341,1231,16337,394,16731,Sunshine Coast Hinterland
31701,3801,18205,18617,5962,2776,49361,1503,50864,Toowoomba
31801,1207,5008,5731,1987,1032,14965,576,15541,Charters Towers - Ayr - Ingham
50103,379,2469,3207,1292,738,8085,222,8307,Manjimup
50201,1716,11641,11569,3689,1763,30378,961,31339,Mandurah
50301,1533,7326,9206,2930,1429,22424,517,22941,Cottesloe - Claremont
50302,5145,17224,11313,2502,993,37177,922,38099,Perth City
50401,2541,11339,10707,3164,1547,29298,936,30234,Bayswater - Bassendean
50402,522,3332,5439,2450,1697,13440,446,13886,Mundaring
31403,811,4452,4822,1524,674,12283,320,12603,Strathpine
31501,1998,2659,2115,706,381,7859,328,8187,Far North
50501,1641,14198,23402,8414,4408,52063,947,53010,Joondalup
40107,1472,5966,5081,1262,522,14303,334,14637,Unley
40201,741,3782,4396,1646,967,11532,278,11810,Gawler - Two Wells
40202,3601,10976,9516,2847,1344,28284,1073,29357,Playford
30301,1222,6064,6753,1870,794,16703,361,17064,Carindale
30302,3343,11032,8103,2071,842,25391,726,26117,Holland Park - Yeronga
30304,1220,5052,4608,1300,508,12688,422,13110,Nathan
30306,1042,5484,5697,1843,696,14762,388,15150,Sunnybank
30401,297,3247,4985,1507,577,10613,161,10774,Centenary
30402,388,3892,6648,2143,965,14036,191,14227,Kenmore - Brookfield - Moggill
30403,2252,7199,5397,1396,536,16780,345,17125,Sherwood - Indooroopilly
30404,1228,6368,6445,1825,701,16567,335,16902,The Gap - Enoggera
30501,5538,11342,4869,997,370,23116,838,23954,Brisbane Inner
30502,1230,5969,5251,1292,484,14226,346,14572,Brisbane Inner - East
30503,3630,13076,9822,2328,925,29781,705,30486,Brisbane Inner - North
30504,2116,8310,6908,1799,694,19827,425,20252,Brisbane Inner - West
30601,717,6229,7433,1945,693,17017,383,17400,Cairns - North
30602,3832,13453,11355,3048,1297,32985,1359,34344,Cairns - South
30603,952,4315,4268,1375,641,11551,480,12031,Innisfail - Cassowary Coast
30604,361,1683,1404,332,134,3914,146,4060,Port Douglas - Daintree
30605,921,5149,5274,1735,762,13841,603,14444,Tablelands (East) - Kuranda
30701,841,4507,5545,2362,1416,14671,586,15257,Darling Downs (West) - Maranoa
30702,622,4380,5213,2107,1327,13649,432,14081,Darling Downs - East
30703,946,4958,5266,1808,1069,14047,514,14561,Granite Belt
30801,419,2381,3590,1558,956,8904,291,9195,Central Highlands (Qld)
30802,1028,7064,9909,3808,1988,23797,769,24566,Gladstone - Biloela
30803,2854,13307,13914,4767,2319,37161,1375,38536,Rockhampton
30901,1824,9361,8171,2090,859,22305,862,23167,Broadbeach - Burleigh
30902,1573,7785,7176,1903,815,19252,698,19950,Coolangatta
30903,1857,10556,8310,2061,735,23519,824,24343,Gold Coast - North
30904,129,1940,2598,921,525,6113,129,6242,Gold Coast Hinterland
30905,186,2634,4610,1566,875,9871,166,10037,Mudgeeraba - Tallebudgera
30906,928,6349,8945,3046,1447,20715,500,21215,Nerang
30907,723,8397,14600,4418,2029,30167,581,30748,Ormeau - Oxenford
31502,1018,3172,3300,1157,655,9302,503,9805,Outback - North
31503,604,2437,2335,952,702,7030,364,7394,Outback - South
31601,840,5737,6836,1985,779,16177,371,16548,Buderim
31602,1751,11146,10015,2544,962,26418,745,27163,Caloundra
50806,663,3363,4908,2025,1108,12067,570,12637,Pilbara
30908,694,5833,6651,1769,601,15548,366,15914,Robina
30909,1942,7995,6869,1962,837,19605,863,20468,Southport
30910,1601,6158,4476,1136,418,13789,566,14355,Surfers Paradise
31001,1863,7685,7266,2102,822,19738,670,20408,Forest Lake - Oxley
31002,728,5908,7395,3243,1966,19240,655,19895,Ipswich Hinterland
31003,2635,11578,11847,4063,2107,32230,1036,33266,Ipswich Inner
31004,1069,6905,8939,2615,1150,20678,576,21254,Springfield - Redbank
31101,263,1522,1589,601,331,4306,137,4443,Beaudesert
31802,3724,20425,23798,7679,3473,59099,1898,60997,Townsville
31901,2357,12484,11390,3285,1445,30961,1119,32080,Bundaberg
31902,1058,6666,6168,2223,1199,17314,729,18043,Burnett
31903,1013,6402,6384,2049,946,16794,634,17428,Gympie - Cooloola
31904,1586,9151,6581,1812,698,19828,661,20489,Hervey Bay
31905,1234,6330,5589,1757,770,15680,603,16283,Maryborough
39797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
39999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Qld)
40303,1620,8086,9304,2641,1196,22847,469,23316,Mitcham
40304,3657,21462,23721,7311,3423,59574,1394,60968,Onkaparinga
40401,4581,16200,13716,3813,1574,39884,1349,41233,Charles Sturt
40402,3073,8836,7168,1917,764,21758,851,22609,Port Adelaide - West
40403,2999,10205,7658,1942,759,23563,704,24267,West Torrens
40501,461,3640,5067,1902,1239,12309,276,12585,Barossa
40502,427,2844,3199,1206,809,8485,208,8693,Lower North
40503,1032,4082,3540,1311,795,10760,360,11120,Mid North
40504,553,3785,3513,1191,654,9696,285,9981,Yorke Peninsula
40601,2027,7620,7727,2597,1223,21194,746,21940,Eyre Peninsula and South West
40602,1029,3215,3134,1091,559,9028,371,9399,Outback - North and East
40701,935,7266,6945,2199,1115,18460,433,18893,Fleurieu - Kangaroo Island
40702,1474,8002,9420,3245,1715,23856,739,24595,Limestone Coast
40703,1739,8950,9228,3517,2045,25479,928,26407,Murray and Mallee
49797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
49999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (SA)
50101,667,5044,6158,2039,896,14804,381,15185,Augusta - Margaret River - Busselton
50102,1601,10218,13570,4901,2528,32818,1019,33837,Bunbury
31102,1085,4872,4634,1456,683,12730,431,13161,Beenleigh
31103,947,6812,8984,3400,1980,22123,663,22786,Browns Plains
31104,106,1880,4875,2428,1690,10979,243,11222,Jimboomba
31105,962,5583,7157,2749,1432,17883,505,18388,Loganlea - Carbrook
31106,2269,9421,8866,2877,1325,24758,979,25737,Springwood - Kingston
31201,445,3197,4474,1713,989,10818,374,11192,Bowen Basin - North
31202,1889,11132,15501,5788,2980,37290,1271,38561,Mackay
31203,490,2253,2337,689,302,6071,241,6312,Whitsunday
31301,949,5528,4158,1058,493,12186,440,12626,Bribie - Beachmere
31302,1541,6890,6850,2362,1366,19009,662,19671,Caboolture
31303,121,1170,1494,616,334,3735,107,3842,Caboolture Hinterland
31304,868,5896,7380,2898,1654,18696,511,19207,Narangba - Burpengary
31305,2393,9167,7182,2084,903,21729,786,22515,Redcliffe
31401,499,6185,12292,4427,2431,25834,350,26184,Hills District
31402,730,5765,7966,2043,794,17298,430,17728,North Lakes
40103,1156,6217,6324,1763,781,16241,355,16596,Burnside
40104,1659,7210,6678,1881,877,18305,516,18821,Campbelltown (SA)
40105,2008,6555,4497,1083,429,14572,430,15002,Norwood - Payneham - St Peters
50403,1555,9686,14120,5234,2987,33582,963,34545,Swan
50901,1085,6503,7647,2996,1773,20004,654,20658,Albany
50902,856,5543,7305,3145,2293,19142,568,19710,Wheat Belt - North
50903,378,2093,2674,1218,990,7353,247,7600,Wheat Belt - South
59797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
59999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (WA)
60101,436,1724,1936,837,426,5359,174,5533,Brighton
60102,1410,6736,7092,2255,1074,18567,493,19060,Hobart - North East
60103,2613,7999,6314,2090,1019,20035,801,20836,Hobart - North West
60104,542,3933,4728,1449,680,11332,206,11538,Hobart - South and West
60105,2257,8356,6196,1720,627,19156,499,19655,Hobart Inner
60106,232,1833,2254,780,463,5562,162,5724,Sorell - Dodges Ferry
60201,3022,11597,10605,3342,1613,30179,862,31041,Launceston
60202,326,2515,3338,1368,808,8355,212,8567,Meander Valley - West Tamar
60203,802,4565,5334,2139,1137,13977,412,14389,North East
60301,130,1150,1576,770,524,4150,118,4268,Central Highlands (Tas.)
60302,283,2244,2720,977,494,6718,192,6910,Huon - Bruny Island
60303,103,932,1067,306,166,2574,88,2662,South East Coast
60401,1468,6900,6620,2255,1051,18294,621,18915,Burnie - Ulverstone
60402,1125,5788,6086,2156,1051,16206,576,16782,Devonport
60403,398,2376,2634,916,449,6773,173,6946,West Coast
69797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Tas.)
69999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Tas.)
70101,787,3080,2812,791,305,7775,359,8134,Darwin City
70102,1154,5588,5929,2033,908,15612,707,16319,Darwin Suburbs
70103,134,1188,2186,1055,740,5303,183,5486,Litchfield
50705,1769,11987,14701,4655,2113,35225,937,36162,Rockingham
70104,512,2638,3813,1109,432,8504,291,8795,Palmerston
40106,1014,3992,3715,1070,464,10255,306,10561,Prospect - Walkerville
40301,1516,5966,4548,1185,481,13696,467,14163,Holdfast Bay
40302,3535,13407,11893,3285,1348,33468,972,34440,Marion
50601,1177,6779,8375,3135,1881,21347,620,21967,Armadale
50602,2464,10078,8608,2403,944,24497,952,25449,Belmont - Victoria Park
50604,1784,11286,14198,5139,2702,35109,993,36102,Gosnells
50605,609,4989,7681,3174,2020,18473,397,18870,Kalamunda
50606,97,1032,2239,1214,982,5564,99,5663,Serpentine - Jarrahdale
50607,1226,6540,5868,1598,643,15875,380,16255,South Perth
50701,1613,9251,13023,4264,2144,30295,819,31114,Cockburn
50702,1443,5336,4749,1233,459,13220,452,13672,Fremantle
50703,619,3381,3696,1285,663,9644,342,9986,Kwinana
50704,1980,11594,14741,4895,2461,35671,765,36436,Melville
70202,346,444,309,85,56,1240,118,1358,Barkly
70203,1216,1126,638,177,87,3244,136,3380,Daly - Tiwi - West Arnhem
70204,725,1040,596,154,58,2573,68,2641,East Arnhem
70205,895,1380,1150,397,218,4040,333,4373,Katherine
79797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NT)
79999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NT)
70201,1384,3805,3056,1047,534,9826,581,10407,Alice Springs
80101,1751,12214,13101,3908,1750,32724,633,33357,Belconnen
80102,3,53,59,37,24,176,8,184,Cotter - Namadgi
80103,66,246,138,42,27,519,24,543,Fyshwick - Pialligo - Hume
80104,401,5379,7329,1854,762,15725,263,15988,Gungahlin
80105,2370,8068,5181,1238,440,17297,443,17740,North Canberra
80106,826,3944,3479,866,330,9445,244,9689,South Canberra
80107,1132,9278,12689,4416,2295,29810,526,30336,Tuggeranong
80108,449,3110,3535,970,412,8476,150,8626,Weston Creek
80109,980,5225,4768,1209,525,12707,255,12962,Woden
89797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (ACT)
90101,32,171,152,52,32,439,26,465,Christmas Island
90102,11,42,38,25,14,130,13,143,Cocos (Keeling) Islands
90103,11,42,22,6,3,84,3,87,Jervis Bay
99797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
99999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (OT)
