SA4_MAIN11,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings,SA4_NAME11
101,4690,27751,29057,9725,4918,76141,2503,78644,Capital Region
102,10512,46022,39982,11272,5177,112965,4240,117205,Central Coast
103,5584,24764,26403,8982,4631,70364,2739,73103,Central West
104,3830,20341,17516,4914,2015,48616,1724,50340,Coffs Harbour - Grafton
105,4082,15354,14126,4597,2345,40504,1852,42356,Far West and Orana
106,5289,29392,33887,11159,5611,85338,2693,88031,Hunter Valley exc Newcastle
107,10131,36946,35699,10678,4806,98260,3339,101599,Illawarra
108,6282,33554,26880,7382,2990,77088,2837,79925,Mid North Coast
109,3246,15259,15725,4717,2189,41136,1707,42843,Murray
110,5126,23009,23373,8003,3886,63397,2483,65880,New England and North West
111,11877,48055,46962,13671,6088,126653,4256,130909,Newcastle and Lake Macquarie
112,6662,35750,31259,8588,3537,85796,3064,88860,Richmond - Tweed
113,3914,18536,20352,6610,3365,52777,2063,54840,Riverina
114,3196,21059,18836,5353,2448,50892,1684,52576,Southern Highlands and Shoalhaven
115,1697,15213,29736,11002,6710,64358,1119,65477,Sydney - Baulkham Hills and Hawkesbury
116,8595,33401,34719,10263,4342,91320,3150,94470,Sydney - Blacktown
117,35352,49091,17231,2777,1012,105463,3425,108888,Sydney - City and Inner South
118,17487,42344,25276,4988,1847,91942,3059,95001,Sydney - Eastern Suburbs
119,22668,70259,53743,15136,6747,168553,6293,174846,Sydney - Inner South West
120,14598,44089,27834,5841,2249,94611,2550,97161,Sydney - Inner West
121,14639,59252,46821,10908,4116,135736,2640,138376,Sydney - North Sydney and Hornsby
122,6650,31436,33324,8345,3728,83483,2064,85547,Sydney - Northern Beaches
123,5378,24522,28574,9892,5292,73658,2307,75965,Sydney - Outer South West
124,7540,34263,36351,11952,6452,96558,2711,99269,Sydney - Outer West and Blue Mountains
125,16625,51866,40634,10574,4742,124441,4471,128912,Sydney - Parramatta
126,6387,23825,19621,4914,2015,56762,1290,58052,Sydney - Ryde
127,11072,34128,36825,13662,7049,102736,4329,107065,Sydney - South West
128,5044,24472,29909,9113,4750,73288,1871,75159,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,3744,19130,20679,6897,3864,54314,1979,56293,Ballarat
202,3527,18024,20091,6956,3601,52199,1645,53844,Bendigo
203,6263,32673,36603,10849,5165,91553,2867,94420,Geelong
204,3482,20079,23143,8035,4232,58971,2036,61007,Hume
205,6287,34083,36452,12287,6233,95342,3468,98810,Latrobe - Gippsland
206,47037,95701,49985,9540,3358,205621,6111,211732,Melbourne - Inner
207,9686,43131,47980,12966,5735,119498,2826,122324,Melbourne - Inner East
208,12345,53436,54535,12879,5317,138512,3850,142362,Melbourne - Inner South
209,10671,48101,58340,18766,10216,146094,4290,150384,Melbourne - North East
210,7199,34109,40820,13757,7014,102899,3504,106403,Melbourne - North West
211,7976,50891,70497,23366,13345,166075,3906,169981,Melbourne - Outer East
212,13895,69579,87171,28231,13646,212522,6856,219378,Melbourne - South East
213,15756,70935,78927,23402,10588,199608,6938,206546,Melbourne - West
214,6067,35182,39963,11556,5435,98203,3355,101558,Mornington Peninsula
215,4316,18688,20717,7102,4049,54872,2317,57189,North West
216,3063,15100,17211,6077,3175,44626,1712,46338,Shepparton
217,2717,15095,17174,6068,3560,44614,1507,46121,Warrnambool and South West
297,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,4560,24115,30022,9844,4763,73304,1862,75166,Brisbane - East
302,6482,28043,25896,7392,3029,70842,2038,72880,Brisbane - North
303,9379,40842,41045,12094,4986,108346,2878,111224,Brisbane - South
304,4159,20711,23471,6868,2786,57995,1028,59023,Brisbane - West
305,12513,38691,26845,6428,2477,86954,2309,89263,Brisbane Inner City
306,6794,30833,29730,8433,3517,79307,2976,82283,Cairns
307,2414,13837,16028,6280,3810,42369,1531,43900,Darling Downs - Maranoa
308,4295,22755,27415,10131,5262,69858,2438,72296,Fitzroy
309,11460,67002,72407,20864,9146,180879,5555,186434,Gold Coast
310,6295,32074,35448,12022,6043,91882,2940,94822,Ipswich
311,5639,30094,36107,13507,7434,92781,2958,95739,Logan - Beaudesert
312,2824,16577,22311,8188,4273,54173,1892,56065,Mackay
313,5869,28656,27062,9016,4756,75359,2503,77862,Moreton Bay - North
314,2037,16400,25080,7994,3902,55413,1105,56518,Moreton Bay - South
315,3620,8264,7759,2816,1733,24192,1196,25388,Queensland - Outback
316,6526,44010,44849,12819,5368,113572,3139,116711,Sunshine Coast
317,3801,18206,18617,5962,2776,49362,1502,50864,Toowoomba
318,4933,25428,29535,9666,4505,74067,2473,76540,Townsville
319,7242,41037,36108,11132,5061,100580,3746,104326,Wide Bay
397,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
399,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Qld)
401,10551,40171,38389,11070,5320,105501,2691,108192,Adelaide - Central and Hills
402,12838,53728,52453,15871,7177,142067,4171,146238,Adelaide - North
403,10330,48927,49463,14421,6444,129585,3301,132886,Adelaide - South
404,10654,35234,28546,7682,3094,85210,2902,88112,Adelaide - West
405,2474,14350,15323,5608,3494,41249,1129,42378,Barossa - Yorke - Mid North
406,3054,10838,10866,3681,1785,30224,1118,31342,South Australia - Outback
407,4150,24215,25587,8961,4877,67790,2103,69893,South Australia - South East
497,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
499,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (SA)
501,2649,17729,22938,8230,4160,55706,1622,57328,Bunbury
502,1716,11642,11569,3689,1763,30379,961,31340,Mandurah
503,6678,24551,20515,5431,2429,59604,1437,61041,Perth - Inner
504,4618,24361,30264,10853,6227,76323,2340,78663,Perth - North East
505,8609,55126,71119,22921,11188,168963,4167,173130,Perth - North West
506,9546,50920,58613,20809,11339,151227,4325,155552,Perth - South East
507,7423,41551,50914,16325,7842,124055,3314,127369,Perth - South West
508,4884,18920,22118,8537,4708,59167,2596,61763,Western Australia - Outback
509,2322,14141,17626,7358,5053,46500,1471,47971,Western Australia - Wheat Belt
597,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
599,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (WA)
601,7493,30579,28519,9133,4287,80011,2341,82352,Hobart
602,4143,18678,19276,6852,3561,52510,1491,54001,Launceston and North East
603,516,4324,5365,2050,1186,13441,392,13833,South East
604,2993,15066,15339,5325,2551,41274,1366,42640,West and North West
697,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Tas.)
699,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Tas.)
701,2585,12495,14736,4992,2384,37192,1539,38731,Darwin
702,4568,7793,5751,1857,955,20924,1235,22159,Northern Territory - Outback
797,0,0,0,0,0,0,3,3,Migratory - Offshore - Shipping (NT)
799,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NT)
801,7978,47517,50279,14539,6565,126878,2547,129425,Australian Capital Territory
897,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
899,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (ACT)
901,55,255,213,85,46,654,41,695,Other Territories
997,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
999,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (OT)
