SA4_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,SA4_NAME11
101,0,21423,21423,27789,1676,29465,10631,191,10822,10135,48,10183,4656,13,4669,2078,3,2081,55289,23354,78643,Capital Region
102,0,31363,31363,37178,2824,40002,17056,316,17372,17276,76,17352,7584,16,7600,3508,7,3515,82602,34602,117204,Central Coast
103,0,20347,20347,24443,1612,26055,9747,249,9996,9244,92,9336,4970,23,4993,2369,6,2375,50773,22329,73102,Central West
104,0,13644,13644,17979,1357,19336,6770,175,6945,6142,48,6190,2801,9,2810,1416,0,1416,35108,15233,50341,Coffs Harbour - Grafton
105,0,12511,12511,13749,964,14713,5646,90,5736,5093,26,5119,2712,5,2717,1555,3,1558,28755,13599,42354,Far West and Orana
106,0,20661,20661,29327,1916,31243,13354,201,13555,13444,39,13483,6238,12,6250,2839,0,2839,65202,22829,88031,Hunter Valley exc Newcastle
107,0,24859,24859,31473,2515,33988,15647,621,16268,16252,258,16510,6888,98,6986,2953,34,2987,73213,28385,101598,Illawarra
108,0,22832,22832,30468,1937,32405,9863,157,10020,8508,21,8529,4067,7,4074,2062,3,2065,54968,24957,79925,Mid North Coast
109,0,12506,12506,14880,1097,15977,5389,172,5561,5168,48,5216,2456,10,2466,1112,6,1118,29005,13839,42844,Murray
110,0,18243,18243,22463,1564,24027,8915,209,9124,8258,54,8312,4135,21,4156,2012,6,2018,45783,20097,65880,New England and North West
111,0,34589,34589,42176,4025,46201,19319,1003,20322,18640,341,18981,7637,127,7764,2982,69,3051,90754,40154,130908,Newcastle and Lake Macquarie
112,0,24848,24848,30377,3011,33388,12017,518,12535,10741,173,10914,4830,44,4874,2282,17,2299,60247,28611,88858,Richmond - Tweed
113,0,14606,14606,18069,1331,19400,7446,243,7689,7217,77,7294,3922,23,3945,1900,5,1905,38554,16285,54839,Riverina
114,0,14273,14273,19714,1045,20759,6709,101,6810,6396,27,6423,2934,9,2943,1362,4,1366,37115,15459,52574,Southern Highlands and Shoalhaven
115,0,8312,8312,17643,756,18399,11880,121,12001,16098,41,16139,7296,34,7330,3271,26,3297,56188,9290,65478,Sydney - Baulkham Hills and Hawkesbury
116,0,15251,15251,22771,1650,24421,18133,284,18417,19894,112,20006,9671,46,9717,6629,29,6658,77098,17372,94470,Sydney - Blacktown
117,0,38708,38708,31828,8500,40328,12237,2928,15165,8707,1449,10156,2717,384,3101,1246,185,1431,56735,52154,108889,Sydney - City and Inner South
118,0,27972,27972,27264,6180,33444,12794,2099,14893,11849,693,12542,4430,209,4639,1427,87,1514,57764,37240,95004,Sydney - Eastern Suburbs
119,0,36958,36958,45197,3922,49119,31389,978,32367,31013,462,31475,14996,181,15177,9655,95,9750,132250,42596,174846,Sydney - Inner South West
120,0,24171,24171,28121,4018,32139,16290,1400,17690,14847,536,15383,5303,184,5487,2217,74,2291,66778,30383,97161,Sydney - Inner West
121,0,33926,33926,41758,4112,45870,21325,1029,22354,23428,256,23684,9481,78,9559,2945,36,2981,98937,39437,138374,Sydney - North Sydney and Hornsby
122,0,19283,19283,25731,2420,28151,13000,573,13573,15747,156,15903,6390,49,6439,2179,20,2199,63047,22501,85548,Sydney - Northern Beaches
123,0,13190,13190,20645,1326,21971,13715,177,13892,15222,36,15258,7155,19,7174,4480,0,4480,61217,14748,75965,Sydney - Outer South West
124,0,21434,21434,28506,2219,30725,16939,308,17247,17364,66,17430,8119,7,8126,4304,5,4309,75232,24039,99271,Sydney - Outer West and Blue Mountains
125,0,26776,26776,32946,3149,36095,23179,922,24101,22860,396,23256,10770,148,10918,7687,80,7767,97442,31471,128913,Sydney - Parramatta
126,0,13537,13537,15970,1546,17516,9700,539,10239,10527,289,10816,4176,118,4294,1583,68,1651,41956,16097,58053,Sydney - Ryde
127,0,16637,16637,23814,1658,25472,19861,257,20118,22750,89,22839,12744,30,12774,9214,13,9227,88383,18684,107067,Sydney - South West
128,0,16288,16288,22470,1603,24073,12018,206,12224,14198,46,14244,6230,8,6238,2089,3,2092,57005,18154,75159,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,0,16065,16065,18367,1734,20101,7542,401,7943,7179,148,7327,3416,33,3449,1393,16,1409,37897,18397,56294,Ballarat
202,0,14911,14911,17797,1571,19368,7473,358,7831,6944,95,7039,3263,22,3285,1398,11,1409,36875,16968,53843,Bendigo
203,0,25014,25014,30790,2278,33068,13559,534,14093,13905,168,14073,5877,65,5942,2185,43,2228,66316,28102,94418,Geelong
204,0,17000,17000,21454,1382,22836,8123,146,8269,7821,35,7856,3607,17,3624,1413,11,1424,42418,18591,61009,Hume
205,0,27944,27944,35005,2200,37205,12913,245,13158,12262,54,12316,5732,11,5743,2432,13,2445,68344,30467,98811,Latrobe - Gippsland
206,0,72199,72199,62584,16337,78921,24039,6273,30312,19040,2103,21143,6271,493,6764,2232,164,2396,114166,97569,211735,Melbourne - Inner
207,0,28125,28125,35102,3391,38493,19269,1315,20584,22296,622,22918,9085,239,9324,2746,134,2880,88498,33826,122324,Melbourne - Inner East
208,0,38229,38229,40934,4100,45034,21028,1201,22229,24470,411,24881,9161,146,9307,2621,59,2680,98214,44146,142360,Melbourne - Inner South
209,0,30071,30071,43123,3345,46468,25789,1027,26816,29208,419,29627,11963,188,12151,5149,101,5250,115232,35151,150383,Melbourne - North East
210,0,20726,20726,29973,1962,31935,18329,440,18769,20010,136,20146,9389,88,9477,5317,34,5351,83018,23386,106404,Melbourne - North West
211,0,35844,35844,51060,3431,54491,28537,600,29137,31809,136,31945,13466,51,13517,5023,24,5047,129895,40086,169981,Melbourne - Outer East
212,0,40794,40794,60570,4695,65265,39198,1517,40715,42400,851,43251,18403,344,18747,10409,196,10605,170980,48397,219377,Melbourne - South East
213,0,40740,40740,56032,5298,61330,37548,1297,38845,38869,522,39391,16805,230,17035,9102,103,9205,158356,48190,206546,Melbourne - West
214,0,26554,26554,33084,2523,35607,14917,329,15246,15352,80,15432,6268,18,6286,2428,5,2433,72049,29509,101558,Mornington Peninsula
215,0,17020,17020,19533,1224,20757,7246,179,7425,6803,43,6846,3487,39,3526,1586,30,1616,38655,18535,57190,North West
216,0,12436,12436,15731,1071,16802,6241,138,6379,6022,33,6055,3077,8,3085,1572,9,1581,32643,13695,46338,Shepparton
217,0,13198,13198,15633,1015,16648,5885,197,6082,5891,45,5936,2995,25,3020,1228,7,1235,31632,14487,46119,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,0,15221,15221,24008,1754,25762,12422,368,12790,13357,82,13439,5540,15,5555,2396,3,2399,57723,17443,75166,Brisbane - East
302,0,18731,18731,22703,2626,25329,11290,694,11984,10588,182,10770,4164,44,4208,1846,11,1857,50591,22288,72879,Brisbane - North
303,0,24033,24033,31848,4383,36231,18167,1839,20006,17970,840,18810,7757,332,8089,3915,139,4054,79657,31566,111223,Brisbane - South
304,0,11251,11251,17629,2057,19686,9600,1025,10625,10916,425,11341,4452,114,4566,1487,66,1553,44084,14938,59022,Brisbane - West
305,0,27411,27411,25977,6769,32746,10461,2745,13206,9576,1023,10599,3738,291,4029,1183,88,1271,50935,38327,89262,Brisbane Inner City
306,0,21426,21426,26926,2939,29865,11890,498,12388,10904,119,11023,4708,27,4735,2842,6,2848,57270,25015,82285,Cairns
307,0,10979,10979,15542,1015,16557,5766,146,5912,5638,32,5670,3051,11,3062,1712,8,1720,31709,12191,43900,Darling Downs - Maranoa
308,0,16230,16230,23434,1966,25400,10948,399,11347,11147,98,11245,5283,19,5302,2766,8,2774,53578,18720,72298,Fitzroy
309,0,42707,42707,60828,8347,69175,29178,1976,31154,27191,560,27751,10716,127,10843,4771,33,4804,132684,53750,186434,Gold Coast
310,0,19299,19299,28458,2639,31097,16003,473,16476,15447,146,15593,7349,28,7377,4963,16,4979,72220,22601,94821,Ipswich
311,0,17107,17107,28131,2629,30760,16880,461,17341,16673,120,16793,8094,27,8121,5606,10,5616,75384,20354,95738,Logan - Beaudesert
312,0,11714,11714,18257,1626,19883,8646,378,9024,9139,117,9256,4194,33,4227,1953,6,1959,42189,13874,56063,Mackay
313,0,18143,18143,26044,2117,28161,11738,242,11980,11291,74,11365,5213,20,5233,2970,11,2981,57256,20607,77863,Moreton Bay - North
314,0,8772,8772,17518,1124,18642,10114,248,10362,11686,61,11747,4867,3,4870,2122,3,2125,46307,10211,56518,Moreton Bay - South
315,0,6612,6612,7373,654,8027,3406,123,3529,3297,38,3335,1887,4,1891,1992,3,1995,17955,7434,25389,Queensland - Outback
316,0,27375,27375,42638,3645,46283,16502,727,17229,16402,189,16591,6489,39,6528,2699,8,2707,84730,31983,116713,Sunshine Coast
317,0,12942,12942,16610,1367,17977,7277,340,7617,6916,94,7010,3468,32,3500,1805,12,1817,36076,14787,50863,Toowoomba
318,0,17365,17365,24500,2625,27125,12016,673,12689,11211,210,11421,5098,52,5150,2773,17,2790,55598,20942,76540,Townsville
319,0,26191,26191,40018,2793,42811,13500,346,13846,12331,89,12420,5686,19,5705,3346,8,3354,74881,29446,104327,Wide Bay
397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Qld)
401,0,31353,31353,33547,3625,37172,14581,1163,15744,15782,438,16220,5749,138,5887,1765,50,1815,71424,36767,108191,Adelaide - Central and Hills
402,0,36228,36228,46150,3613,49763,23804,641,24445,22309,204,22513,8821,71,8892,4358,41,4399,105442,40798,146240,Adelaide - North
403,0,35718,35718,43531,3472,47003,20007,769,20776,19743,205,19948,6931,61,6992,2425,25,2450,92637,40250,132887,Adelaide - South
404,0,27854,27854,26562,2943,29505,12369,764,13133,11590,315,11905,3948,79,4027,1643,44,1687,56112,31999,88111,Adelaide - West
405,0,12145,12145,15888,779,16667,5069,73,5142,5099,15,5114,2347,5,2352,958,0,958,29361,13017,42378,Barossa - Yorke - Mid North
406,0,9454,9454,10339,706,11045,4126,109,4235,3901,30,3931,1781,0,1781,891,5,896,21038,10304,31342,South Australia - Outback
407,0,19916,19916,26234,1394,27628,8578,165,8743,8293,39,8332,3831,23,3854,1401,18,1419,48337,21555,69892,South Australia - South East
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (SA)
501,0,13388,13388,20182,1265,21447,8385,257,8642,8684,72,8756,3634,14,3648,1441,6,1447,42326,15002,57328,Bunbury
502,0,7718,7718,11912,742,12654,4179,85,4264,4225,19,4244,1703,4,1707,753,0,753,22772,8568,31340,Mandurah
503,0,19348,19348,18180,2893,21073,7359,1093,8452,7753,400,8153,3048,99,3147,818,48,866,37158,23881,61039,Perth - Inner
504,0,17852,17852,24374,2150,26524,12755,467,13222,12917,157,13074,5355,38,5393,2576,23,2599,57977,20687,78664,Perth - North East
505,0,37814,37814,53122,4480,57602,27894,1243,29137,30791,369,31160,12055,110,12165,5210,41,5251,129072,44057,173129,Perth - North West
506,0,36393,36393,47730,4914,52644,24569,1596,26165,24004,628,24632,10137,222,10359,5210,150,5360,111650,43903,155553,Perth - South East
507,0,28891,28891,39640,3322,42962,20254,898,21152,21696,310,22006,8656,119,8775,3546,40,3586,93792,33580,127372,Perth - South West
508,0,14710,14710,18639,1764,20403,8856,403,9259,9444,106,9550,4567,45,4612,3212,16,3228,44718,17044,61762,Western Australia - Outback
509,0,12650,12650,17710,924,18634,6164,122,6286,6020,18,6038,2878,8,2886,1469,7,1476,34241,13729,47970,Western Australia - Wheat Belt
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (WA)
601,0,23210,23210,26609,2219,28828,12266,581,12847,11103,244,11347,4177,68,4245,1830,43,1873,55985,26365,82350,Hobart
602,0,15393,15393,18448,1352,19800,7362,299,7661,6952,105,7057,2849,19,2868,1212,7,1219,36823,17175,53998,Launceston and North East
603,0,3586,3586,5338,272,5610,1817,22,1839,1675,3,1678,749,0,749,372,0,372,9951,3883,13834,South East
604,0,11852,11852,15207,816,16023,5819,117,5936,5494,23,5517,2281,6,2287,1023,3,1026,29824,12817,42641,West and North West
697,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,Migratory - Offshore - Shipping (Tas.)
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Tas.)
701,0,8257,8257,11091,1796,12887,6406,540,6946,6105,165,6270,2695,48,2743,1612,16,1628,27909,10822,38731,Darwin
702,0,5062,5062,5289,699,5988,2879,171,3050,2855,57,2912,1709,18,1727,3405,15,3420,16137,6022,22159,Northern Territory - Outback
797,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,Migratory - Offshore - Shipping (NT)
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NT)
801,0,30248,30248,39258,4506,43764,20708,1871,22579,20836,622,21458,8028,141,8169,3148,59,3207,91978,37447,129425,Australian Capital Territory
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (ACT)
901,0,138,138,198,13,211,138,3,141,93,0,93,64,0,64,45,3,48,538,157,695,Other Territories
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (OT)
