SA4_MAIN11,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,SA4_NAME11
117,4343,2074,1085,395,128,48,18941,1193,5201,3050,1837,1273,490,121,21,13186,1227,3759,1683,848,373,118,53,15,8076,587,1182,698,340,203,87,20,8,3125,61,22,17,12,6,7,6,0,131,138,485,358,204,130,63,14,10,1402,2635,4135,2172,1623,1439,1091,909,583,14587,9574,30416,16692,9682,6646,3193,1650,803,78656,638,2182,1385,746,507,218,73,8,5757,522,3847,1816,652,224,47,8,0,7116,885,3935,2628,2081,1502,938,469,102,12540,426,1877,1456,903,576,294,140,27,5699,97,454,377,220,120,36,21,3,1328,657,3383,2307,1576,1094,515,211,82,9825,261,1737,1621,1377,1363,545,204,47,7155,3895,16080,8582,4124,2187,810,248,70,35996,1839,8542,5573,3434,2513,927,265,50,23143,1998,6656,3319,1686,706,227,89,18,14699,1026,2477,1533,808,405,180,49,22,6500,134,60,33,22,19,10,13,0,291,244,855,667,425,236,119,40,18,2604,5708,9340,5197,3822,3145,2361,1729,846,32148,18330,61425,36494,21876,Sydney - City and Inner South
118,4690,2700,1577,770,376,213,17924,839,4063,3084,2132,1529,672,252,85,12656,754,2725,1734,903,417,177,94,47,6851,362,824,668,401,294,160,83,30,2822,42,13,8,9,11,6,11,5,105,106,307,373,233,160,92,30,10,1311,1747,2663,1918,1496,1347,1252,1171,861,12455,6513,22621,17039,11770,8524,4802,2884,1647,75800,443,1533,1151,799,609,345,124,63,5067,247,1612,1171,678,253,50,3,0,4014,878,3158,2196,2103,1814,1295,771,342,12557,476,1849,1431,1027,748,427,190,70,6218,93,432,317,206,102,60,37,8,1255,527,3140,2651,2293,1801,1089,635,262,12398,219,1589,1477,1594,1761,832,431,167,8070,2466,11402,9040,5343,3151,1488,665,318,33873,1299,6232,5255,3703,2837,1345,538,167,21376,1108,4224,2730,1474,666,284,143,64,10693,529,1369,1160,680,481,260,135,55,4669,100,23,14,16,21,16,14,8,212,168,533,596,417,249,153,69,31,2216,3895,6184,4388,3314,2792,2433,2002,1303,26311,12448,43280,33577,23647,Sydney - Eastern Suburbs
119,8047,5382,2819,1013,558,260,31690,1506,4150,3147,2439,1310,372,142,26,13092,615,1439,956,529,261,125,58,29,4012,1102,1989,1529,872,547,217,121,38,6415,68,35,33,59,38,15,16,10,274,128,392,368,247,112,46,40,9,1342,3020,3214,3088,2880,2526,2263,2479,1701,21171,12115,29676,24477,18631,11589,5968,4480,2417,109353,479,1547,1550,1445,731,354,133,36,6275,819,5197,2979,1371,375,61,10,3,10815,1488,5378,6760,7305,5118,3383,2143,737,32312,926,2377,2479,1894,1281,874,532,179,10542,150,424,366,363,198,95,44,16,1656,1223,3787,3296,2916,1848,942,501,152,14665,778,2739,2881,2796,2382,1103,525,150,13354,5732,17485,12996,8747,4942,1885,957,409,53153,2173,5892,4840,3826,2353,766,316,80,20246,1035,2321,1563,959,495,246,105,42,6766,1756,3569,2460,1520,929,467,239,68,11008,138,59,62,96,76,36,30,13,510,224,693,694,542,301,137,104,35,2730,6650,6841,6208,6072,5168,4407,4301,2575,42222,23571,58309,49134,39852,Sydney - Inner South West
120,5448,3415,1738,569,235,130,19870,765,3341,3115,2196,1514,485,150,40,11606,654,1892,1474,850,350,115,66,27,5428,474,984,776,426,270,88,51,19,3088,35,9,13,19,11,6,5,0,98,88,299,293,261,130,58,29,7,1165,1344,1896,1584,1323,1173,1007,1183,1013,10523,6276,20946,18002,13146,8737,3783,2385,1463,74738,334,1436,1304,1065,675,300,92,24,5230,408,3238,1897,913,295,53,8,0,6812,572,2953,3029,3121,2180,1347,762,241,14205,339,1274,1501,1168,761,453,217,41,5754,82,340,305,241,161,49,22,5,1205,669,2908,2711,2401,1787,826,398,131,11831,298,1653,1798,2000,2171,864,358,119,9261,3110,11882,9479,6000,3314,1100,405,205,35495,1165,5005,4989,3559,2705,925,307,77,18732,1042,3096,2352,1414,652,198,97,34,8885,874,1921,1277,757,426,186,91,35,5567,73,27,23,34,17,6,11,4,195,149,498,513,428,256,109,55,14,2022,3041,4192,3285,2838,2284,2002,2067,1421,21130,12156,40423,34463,25939,Sydney - Inner West
121,8676,6104,3957,1916,882,500,31502,990,4058,4550,3786,2769,1308,571,179,18211,826,2173,1726,1210,682,318,222,77,7234,464,838,866,567,367,175,76,47,3400,21,9,13,11,27,16,12,0,109,106,380,469,373,282,136,69,39,1854,1442,1750,1638,1485,1289,1101,1280,1347,11332,6974,24216,26353,22208,16179,9060,5217,2955,113162,466,1704,2057,2073,1575,1092,436,164,9567,362,3610,3332,2071,745,147,22,6,10295,627,3414,4302,4597,3509,2682,1558,609,21298,400,1304,1629,1548,1205,743,376,111,7316,154,549,558,460,307,188,103,32,2351,745,3484,4118,4396,3419,2334,1440,520,20456,309,1942,2600,3147,3443,2062,968,317,14788,3199,14029,15980,12512,8358,4264,1844,835,61021,1574,6294,7400,6513,5070,2619,1135,363,30968,1337,3496,2588,1839,1104,506,314,105,11289,685,1469,1384,913,551,270,125,60,5457,41,21,28,24,37,27,12,4,194,183,601,748,618,463,245,117,73,3048,3101,3705,3355,3006,2532,2067,2055,1796,21617,13183,45622,50079,43717,Sydney - North Sydney and Hornsby
122,5172,3559,2296,1281,572,267,17747,603,1874,2495,1704,1124,541,196,63,8600,436,1237,1154,694,343,177,90,44,4175,393,836,893,593,341,244,100,40,3440,9,8,4,6,10,6,9,6,58,46,131,225,154,93,50,26,10,735,794,908,1036,884,834,896,1068,1182,7602,3897,12359,15925,12313,8558,5201,3036,1938,63227,153,672,1112,946,652,389,134,55,4113,207,1023,1237,935,360,75,9,3,3849,485,2117,3187,3440,2570,2086,1193,409,15487,424,1627,1988,1552,1070,660,372,123,7816,127,503,570,409,177,120,67,24,1997,355,1753,2259,2282,1630,1057,618,185,10139,191,1485,1938,1997,2048,1134,479,146,9418,1591,6175,9017,6632,4470,2567,1080,435,31967,922,2837,3995,2840,2014,1035,390,121,14154,747,2003,1781,1099,615,316,151,74,6786,586,1315,1354,915,507,381,144,54,5256,15,14,20,13,10,13,12,6,103,86,233,412,297,221,112,60,32,1453,1807,2008,2148,1972,1700,1614,1710,1718,14677,7696,23765,31018,25329,Sydney - Northern Beaches
123,2733,2334,1497,415,123,36,11495,934,1783,1534,1267,654,152,42,6,6372,294,355,233,174,111,44,17,7,1235,648,870,693,368,300,93,32,5,3009,16,7,21,16,10,6,3,3,82,49,99,123,91,65,17,6,4,454,1448,1016,1203,1233,1126,872,748,493,8139,5797,10444,10049,8531,5998,2396,1239,630,45084,180,393,488,391,320,96,30,10,1908,308,1002,660,372,164,28,7,0,2541,1156,2878,3832,4230,3474,1637,560,143,17910,687,1342,1323,1000,810,386,143,29,5720,208,426,331,303,181,72,20,5,1546,550,1469,1683,1578,1121,429,148,45,7023,336,1517,1631,1481,1385,482,158,34,7024,1868,4400,4251,3674,2505,751,212,53,17714,1232,2495,2197,1741,1020,297,78,18,9078,510,626,377,290,210,87,25,11,2136,852,1267,1079,653,502,186,62,8,4609,33,12,28,31,17,13,3,3,140,96,208,276,238,175,55,26,10,1084,3080,2086,2405,2480,2242,1642,1280,689,15904,11096,20121,20561,18462,Sydney - Outer South West
124,3270,2894,1976,720,253,112,14194,1097,2072,1916,1788,1319,480,119,21,8812,350,666,564,389,260,131,72,17,2449,900,1186,871,592,353,126,55,15,4098,27,16,15,15,21,6,5,4,109,57,99,150,104,79,36,11,3,539,1543,1169,1288,1454,1345,1134,1022,685,9640,6777,12627,12457,11842,8986,4155,2167,1081,60092,178,481,609,597,476,226,66,16,2649,379,925,665,454,268,62,6,0,2759,1465,3572,4355,4871,3998,2083,795,235,21374,783,1663,1640,1358,1067,569,232,74,7386,335,612,587,446,285,130,48,17,2460,652,1964,2144,2392,1833,824,374,140,10323,399,1854,2169,2421,2452,913,340,75,10623,2239,4904,4969,4653,3468,1324,439,164,22160,1456,2963,2785,2583,2026,807,265,50,12935,609,1060,910,687,491,208,108,28,4101,1224,1710,1291,901,622,258,93,36,6135,49,20,27,22,32,12,5,4,171,107,247,340,287,243,100,53,12,1389,3441,2565,2764,3002,2756,2178,1768,968,19442,13316,24540,25255,24674,Sydney - Outer West and Blue Mountains
125,5641,3571,2009,831,339,120,23618,1145,3241,2365,1718,1035,337,95,25,9961,434,1031,665,325,213,86,43,18,2815,878,1502,938,538,305,125,58,22,4366,52,40,32,38,23,18,3,0,206,106,431,274,193,105,50,20,6,1185,2509,2785,2247,2011,1595,1416,1557,1147,15267,9563,26067,18273,13147,8460,4360,2810,1538,84218,501,1781,1525,1176,708,314,116,20,6141,775,5705,2829,1093,319,50,6,3,10780,1189,5186,5241,5359,3869,2443,1274,367,24928,653,1849,1694,1263,881,553,285,91,7269,118,413,347,310,156,75,54,3,1476,1092,3817,2843,2260,1614,743,329,94,12792,495,2202,2073,1943,1707,925,406,89,9840,4374,15141,9541,6030,3711,1581,643,184,41205,1632,4629,3568,2766,1809,679,227,64,15374,785,1713,1068,597,388,154,74,23,4802,1548,2750,1536,886,544,257,110,36,7667,99,72,55,66,47,40,3,4,386,182,716,554,390,245,95,57,12,2251,5908,6977,5134,4490,3404,2799,2763,1615,33090,19351,52951,38008,28629,Sydney - Parramatta
126,3238,2444,1403,657,351,212,13138,464,1555,1469,1195,882,369,161,48,6143,321,679,532,371,191,78,61,30,2263,219,397,420,304,157,84,42,24,1647,29,0,5,22,14,4,4,0,78,58,141,149,128,92,41,29,9,647,729,587,518,544,530,511,683,764,4866,3902,9991,9860,8634,5901,3157,2068,1379,44892,224,820,922,958,675,370,162,39,4170,228,1935,1473,960,308,44,9,0,4957,352,1868,2263,2650,1945,1189,828,289,11384,199,558,738,664,451,287,185,59,3141,50,204,219,215,135,61,30,16,930,366,1378,1549,1721,1323,746,410,166,7659,179,917,1126,1399,1451,831,419,144,6466,2517,6034,5602,4418,2836,1235,645,314,23601,753,2250,2296,1996,1565,703,321,89,9973,542,1087,826,571,322,134,94,38,3614,351,701,652,474,260,140,70,27,2675,64,8,11,33,23,7,8,0,154,108,233,236,231,167,71,52,22,1120,1565,1283,1060,1132,1052,933,1118,1050,9193,7498,19276,18973,17422,Sydney - Ryde
127,4203,2877,1381,360,126,26,16358,1109,2070,1622,1320,669,133,37,12,6972,395,606,343,194,98,38,9,3,1686,787,1250,1057,657,343,111,33,3,4241,44,27,18,37,30,7,5,0,168,73,146,135,122,65,25,11,0,577,2419,2125,2326,2211,1919,1593,1210,578,14381,8528,15770,13730,10682,6549,2979,1699,698,60635,365,745,759,605,316,105,28,3,2926,674,2179,1231,547,180,27,0,3,4841,1289,3603,4802,5263,3647,1773,726,145,21248,706,1457,1506,1279,841,493,203,38,6523,104,237,217,224,152,41,22,6,1003,811,1933,1938,1528,1006,310,129,34,7689,572,1685,1618,1438,1154,487,153,22,7129,3261,7905,6293,4427,2326,669,223,45,25149,1577,2849,2298,1882,1074,302,85,23,10090,648,1058,569,351,185,90,21,6,2928,1067,1760,1574,1032,577,218,61,13,6302,76,48,45,65,52,13,9,3,311,131,318,351,321,192,80,31,10,1434,5202,4346,4581,4692,3842,3099,2241,853,28856,16483,30123,27782,23654,Sydney - South West
128,3654,3058,2114,969,494,187,14788,751,1654,1547,1104,754,263,82,18,6173,398,691,479,273,147,99,59,15,2161,493,796,761,459,351,176,102,16,3154,12,6,4,13,7,6,3,0,51,33,97,134,90,68,22,9,5,458,761,655,685,777,761,760,1039,703,6141,4593,10284,11186,9827,7204,3595,2410,1142,50241,194,483,661,576,500,258,104,25,2801,206,755,695,473,241,45,6,0,2421,986,2550,3754,4238,3491,2384,1327,402,19132,659,1522,1636,1348,913,547,320,90,7035,114,339,338,267,134,65,23,10,1290,549,1535,1868,1939,1223,636,362,94,8206,348,1558,1775,2177,2120,816,321,83,9198,1755,4800,5843,5227,3955,1733,814,269,24396,1120,2417,2367,1736,1314,485,197,45,9681,640,1075,731,425,289,181,85,27,3453,682,1186,1098,721,531,304,149,28,4699,18,13,11,18,12,10,6,3,91,61,182,250,214,175,59,26,15,982,1632,1504,1566,1630,1556,1361,1682,1032,11963,8964,19919,22593,20989,Sydney - Sutherland
197,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,10,3,3,0,3,3,7,7,0,26,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,3,4,3,6,0,22,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,3,3,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,7,0,16,6,6,6,9,Migratory - Offshore - Shipping (NSW)
199,93,73,69,20,4,0,516,57,134,72,57,51,15,0,0,386,31,68,32,22,9,5,0,0,167,38,55,19,21,11,5,0,0,149,5,0,0,0,0,0,0,0,5,6,14,9,3,0,0,0,0,32,155,199,165,132,104,84,46,34,919,441,873,500,421,383,168,59,39,2884,20,58,30,16,12,10,4,0,150,23,66,27,13,13,0,0,0,142,64,197,122,143,146,109,15,4,800,27,85,76,58,45,40,3,0,334,21,31,29,18,13,9,0,0,121,32,123,68,81,85,29,6,0,424,18,77,35,47,66,18,8,5,274,125,279,180,118,110,44,7,0,863,82,193,102,85,75,29,3,0,569,51,113,51,37,19,14,0,0,285,60,101,44,40,21,15,0,3,284,5,0,5,0,0,0,0,0,10,11,25,25,11,8,3,0,0,83,370,591,624,602,404,242,91,59,2983,909,1939,1418,1269,Special Purpose Codes SA4 (NSW)
201,1197,994,570,245,87,36,4986,435,930,1099,1045,806,251,48,5,4619,136,270,235,178,155,72,26,7,1079,438,590,481,303,230,109,38,11,2200,11,3,8,3,8,7,0,0,40,21,76,91,70,46,20,12,3,339,752,424,555,669,763,900,954,585,5602,2988,5664,6083,5817,4853,2751,1619,781,30556,57,202,279,229,203,82,30,14,1096,167,431,283,208,109,31,3,0,1232,600,1310,1792,1892,1717,1167,513,143,9134,536,842,737,723,535,358,148,27,3906,163,398,469,462,272,146,52,14,1976,414,1131,1429,1679,1374,667,286,81,7061,172,868,989,1166,1528,800,289,65,5877,770,1955,1980,1734,1131,475,181,67,8293,563,1165,1448,1415,1201,431,112,13,6348,246,445,420,312,286,157,35,11,1912,581,874,746,529,408,202,73,19,3432,26,9,11,8,8,7,3,0,72,54,155,190,160,129,51,27,7,773,1665,964,1227,1496,1647,1710,1686,879,11274,6014,10749,12000,12013,Ballarat
202,1075,922,574,226,79,46,4477,447,900,1032,1064,874,282,61,9,4669,102,240,267,203,145,78,35,15,1085,421,537,440,289,192,112,39,13,2043,3,3,3,4,3,3,0,0,19,15,79,110,69,61,22,11,3,370,654,391,521,563,682,814,1029,700,5354,2680,5213,5900,5928,4920,2749,1732,932,30054,63,197,301,241,221,128,36,11,1198,136,319,266,206,118,30,3,0,1078,562,1241,1647,1947,1779,1118,517,144,8955,455,738,788,729,569,369,175,31,3854,152,435,551,485,292,128,49,14,2106,374,1121,1418,1852,1380,674,306,83,7208,186,810,988,1231,1555,848,267,73,5958,660,1639,1722,1538,1153,467,169,68,7416,584,1104,1430,1450,1288,517,118,33,6524,207,412,441,327,301,159,54,19,1920,586,825,683,535,334,185,69,18,3235,9,3,10,7,7,7,0,0,43,40,146,201,173,135,71,39,9,814,1471,1014,1267,1351,1443,1543,1733,1043,10865,5485,10004,11713,12072,Bendigo
203,2397,1705,1103,525,227,101,9567,855,1791,1946,1832,1271,429,128,33,8285,265,543,545,332,189,103,48,21,2046,818,1042,929,602,426,246,73,30,4166,18,15,4,9,8,0,0,3,57,33,133,187,119,83,49,18,11,633,1078,699,906,1052,1077,1308,1593,987,8700,5274,10886,11424,10140,8076,4651,3028,1497,54976,266,684,707,538,450,236,70,26,2977,273,635,515,340,187,33,4,0,1987,896,2414,3568,3643,3292,2123,1206,347,17489,990,1879,1758,1399,1000,619,345,79,8069,198,559,645,518,340,217,105,20,2602,719,2287,2634,2854,2179,1030,555,197,12455,279,1541,1779,2127,2599,1472,532,143,10472,1422,3823,3855,3085,2264,1043,444,173,16109,1155,2310,2608,2442,1817,754,249,79,11414,461,930,824,504,366,167,72,34,3358,1109,1606,1432,964,644,385,139,42,6321,32,24,13,22,12,5,5,6,119,80,263,353,293,228,131,53,33,1434,2509,1834,2234,2373,2266,2435,2715,1448,17814,10389,20789,22925,21102,Geelong
204,1335,1131,736,285,110,59,5374,423,939,1053,1109,911,259,65,11,4770,89,189,189,164,120,51,30,9,841,531,696,623,441,330,154,48,7,2830,9,0,0,3,3,0,4,0,19,11,62,73,82,45,26,9,3,311,701,418,561,709,762,885,1033,605,5674,2829,5510,6373,6589,5576,3117,1881,876,32751,45,204,268,257,262,124,42,11,1213,114,223,190,193,131,32,0,0,883,709,1579,2098,2464,2232,1404,638,158,11282,436,685,885,924,763,446,207,54,4400,238,573,759,673,486,237,105,32,3103,334,1041,1420,1810,1526,797,371,108,7407,122,768,944,1259,1680,968,282,77,6100,716,1713,2046,1787,1369,576,223,86,8516,578,1173,1352,1426,1299,446,112,28,6414,178,316,292,255,215,94,56,14,1420,710,1065,953,753,543,273,97,17,4411,21,3,4,6,7,0,7,4,52,54,129,191,184,134,87,34,24,837,1558,1010,1256,1605,1688,1716,1780,881,11494,5813,10482,12658,13596,Hume
205,1693,1503,1114,530,241,76,8131,680,1443,1651,1809,1490,428,117,13,7631,148,327,266,253,197,106,45,25,1367,856,1039,838,616,461,238,79,17,4144,13,10,7,4,9,11,9,0,63,30,91,121,110,97,29,15,6,499,1239,791,1031,1173,1397,1608,1645,890,9774,4878,8857,9074,9518,8753,5039,2990,1296,50405,110,328,312,324,344,184,61,16,1679,152,356,236,227,141,39,5,0,1156,1217,2736,3555,4274,4021,2770,1266,301,20140,802,1455,1515,1599,1287,892,396,103,8049,343,1028,1030,815,487,233,105,20,4061,573,1609,1794,2441,2279,1166,491,157,10510,254,1181,1446,1876,2491,1438,438,110,9234,1161,2768,2467,2318,2007,1002,409,108,12240,828,1788,2061,2276,2028,696,222,26,9925,278,525,406,390,356,188,72,31,2246,1095,1529,1330,1021,761,429,166,25,6356,22,15,13,8,15,18,14,3,108,74,183,289,294,277,129,50,18,1314,2834,2092,2442,2595,2972,3121,2944,1364,20364,9743,17593,18896,20458,Latrobe - Gippsland
206,7796,3858,2061,622,259,137,32422,2233,9901,6237,3988,3019,1154,344,85,26961,2307,6651,3010,1487,720,242,100,37,14554,1266,2311,1244,691,396,200,80,29,6217,99,27,17,16,18,9,4,4,194,398,1279,907,572,370,134,60,36,3756,3458,5132,3055,2336,2057,1881,1877,1246,21042,17679,56896,32480,20564,14567,6854,3825,1945,154810,1381,4897,2996,1868,1277,561,170,61,13211,892,6556,3100,1332,509,74,7,0,12470,1811,8210,5084,3660,2800,1672,947,373,24557,1385,4603,2909,1674,1094,570,261,70,12566,274,1252,749,520,265,88,37,7,3192,1978,9214,5412,3932,2904,1457,694,223,25814,564,4246,3472,3889,3992,1666,566,145,18540,6743,25508,14828,7789,4528,1703,585,233,61917,3350,15200,10041,6662,5341,2176,668,167,43605,3763,11455,5381,2621,1300,447,149,55,25171,2199,4556,2227,1280,634,313,127,43,11379,195,56,38,32,29,16,18,8,392,608,2076,1465,937,618,238,120,54,6116,7661,11789,7106,5273,4468,3702,3356,1895,45250,32804,109618,64808,41469,Melbourne - Inner
